City_ID,City_Name,State_Name,Tier,Population,Area_sq_km,Population_Density,Latitude,Longitude,Average_Property_Price_sqft,Average_Rent_sqft,Rental_Yield,GDP_USD_Billion,IT_Hub,Financial_Hub,Manufacturing_Hub,Tourist_City,Metro_Available,Airport_Available,Smart_City,AQI_Index,Crime_Index,Livability_Score,Infrastructure_Score,Investment_Score,Price_Growth_5Y,Annual_Rainfall_mm,Avg_Temperature_C,Major_Industry,Hospitals_Count,Schools_Count,Shopping_Malls_Count,Universities_Count,Metro_Stations,EV_Charging_Stations,Internet_Coverage_Percent,Green_Cover_Percent,Last_Updated
C0025,Surat,Gujarat,Tier 2,2496116,88.31,20659,25.256277,91.902969,32685,46,4.42,145.83,No,No,No,No,No,Yes,Yes,241,51,93,71,56,-2.9,269,35.0,Tourism,315,132,99,23,120,536,89.48,59.96,2025-12-31
C0026,Vadodara,Gujarat,Tier 2,19740403,393.07,32725,36.102602,81.630301,15880,52,3.77,33.32,Yes,No,No,No,No,No,Yes,252,21,75,71,75,-2.33,3411,31.6,IT,356,1161,61,53,13,197,85.5,42.36,2025-12-31
C0027,Rajkot,Gujarat,Tier 3,21085235,398.05,3882,13.903189,83.92737,32897,46,4.41,216.76,Yes,Yes,Yes,Yes,No,Yes,No,67,38,62,84,62,9.9,1361,22.5,Tourism,280,609,55,62,120,254,83.66,13.68,2025-12-31
C0028,Bhavnagar,Gujarat,Tier 2,20211774,451.68,9446,33.056781,76.011175,28386,119,4.28,289.68,No,Yes,No,No,No,Yes,No,295,71,77,76,90,12.55,3190,21.4,Textile,465,436,91,31,146,397,76.98,51.53,2025-12-31
C0029,Gurugram,Haryana,Tier 1,1564560,297.72,31496,28.451609,91.530858,15151,94,6.36,202.47,Yes,No,Yes,Yes,No,Yes,No,71,77,84,55,64,4.43,1364,11.9,Tourism,193,864,85,11,84,695,95.69,27.8,2025-12-31
C0030,Faridabad,Haryana,Tier 3,21131890,622.16,32478,33.299108,69.041074,4742,40,5.47,285.57,Yes,Yes,No,Yes,Yes,No,Yes,173,13,57,75,58,1.75,3170,20.8,Agriculture,291,893,74,24,43,184,72.36,57.25,2025-12-31
C0031,Panipat,Haryana,Tier 2,16798941,779.39,9879,14.733465,86.499234,17559,42,5.67,278.76,No,No,Yes,Yes,No,No,No,347,64,71,84,74,-0.42,3251,31.3,Finance,141,831,75,46,147,307,99.68,22.71,2025-12-31
C0032,Hisar,Haryana,Tier 3,9310033,46.56,3714,34.407892,89.609992,29790,46,6.27,72.11,No,Yes,Yes,No,Yes,Yes,Yes,178,66,57,92,78,11.84,838,32.7,Textile,402,900,24,26,33,557,96.21,26.95,2025-12-31
C0033,Karnal,Haryana,Tier 3,5621194,248.15,32078,36.054138,76.559102,31021,53,6.42,145.71,Yes,Yes,Yes,No,No,Yes,No,27,43,89,62,84,3.48,2247,24.6,Textile,75,528,62,4,158,579,79.81,41.6,2025-12-31
C0034,Shimla,Himachal Pradesh,Tier 2,21420617,707.32,20304,26.827944,71.383602,3985,14,3.67,153.22,Yes,Yes,Yes,No,No,No,No,320,29,81,96,61,14.17,3443,33.5,Tourism,36,808,29,57,113,246,95.58,10.96,2025-12-31
C0035,Solan,Himachal Pradesh,Tier 3,18369242,770.37,24006,9.755953,76.000562,34226,25,7.22,255.68,Yes,Yes,Yes,Yes,No,Yes,Yes,309,36,59,90,68,8.49,2008,18.2,Manufacturing,423,55,37,19,33,558,77.49,15.47,2025-12-31
C0036,Mandi,Himachal Pradesh,Tier 2,4522582,52.04,16093,25.076735,68.457651,11195,16,2.7,131.08,Yes,Yes,No,No,No,Yes,No,277,38,94,57,97,6.99,3852,26.1,IT,51,1030,110,52,109,707,73.23,47.74,2025-12-31
C0037,Dharamshala,Himachal Pradesh,Tier 3,2565939,768.41,21609,25.640625,69.904785,11511,89,5.48,170.44,No,No,No,No,No,Yes,Yes,302,37,82,83,69,4.52,3815,20.0,Finance,180,924,42,33,95,161,90.54,33.46,2025-12-31
C0038,Ranchi,Jharkhand,Tier 2,2964352,115.52,6828,29.59308,78.806759,6763,81,2.33,296.6,No,Yes,No,No,No,Yes,No,327,49,77,61,91,6.67,1367,26.4,Agriculture,453,271,46,72,94,122,92.8,39.45,2025-12-31
C0039,Jamshedpur,Jharkhand,Tier 3,18922885,829.38,2220,25.660853,87.077106,25223,44,2.16,85.44,No,No,No,Yes,Yes,Yes,No,55,28,95,56,60,12.16,1862,19.4,Healthcare,194,372,49,40,83,800,98.15,40.77,2025-12-31
C0040,Dhanbad,Jharkhand,Tier 2,5320395,167.5,3761,27.545093,75.890982,24190,64,4.67,137.59,No,Yes,Yes,No,No,Yes,No,323,72,88,97,74,-3.96,3337,34.6,IT,23,468,40,28,35,787,77.64,24.69,2025-12-31
C0041,Bokaro,Jharkhand,Tier 2,16789482,645.08,12014,11.746385,83.444888,10040,74,5.07,207.43,No,Yes,No,Yes,No,Yes,No,59,50,91,82,91,4.3,3521,17.2,Mining,30,715,23,80,117,711,97.5,10.29,2025-12-31
C0042,Bengaluru,Karnataka,Tier 1,3652177,237.09,26743,23.194914,79.477234,12667,105,3.87,103.92,Yes,Yes,Yes,Yes,No,No,Yes,140,23,64,71,67,-1.01,1352,29.0,Finance,110,1061,61,73,148,464,90.37,57.92,2025-12-31
C0043,Mysuru,Karnataka,Tier 3,21145923,296.07,29320,9.980301,80.824034,12422,111,3.51,18.36,Yes,No,No,No,Yes,Yes,No,166,19,96,60,94,8.66,3249,21.6,Education,425,134,59,74,166,197,79.61,33.54,2025-12-31
C0044,Hubballi,Karnataka,Tier 2,2176136,404.92,23007,36.489182,70.445545,23672,32,2.22,219.66,No,Yes,No,No,No,No,No,193,86,58,95,96,2.7,2800,12.4,Mining,165,566,94,78,38,346,72.44,44.82,2025-12-31
C0045,Mangaluru,Karnataka,Tier 3,10509649,823.83,26187,11.739598,88.556186,5276,49,5.07,199.84,No,Yes,Yes,No,No,Yes,No,178,33,68,76,86,-0.58,1226,13.9,Tourism,452,257,66,70,134,43,89.79,57.58,2025-12-31
C0046,Belagavi,Karnataka,Tier 2,20140265,345.14,11133,13.244533,88.092524,22971,113,6.96,223.85,Yes,No,No,Yes,No,No,No,139,78,70,74,85,15.79,1689,19.2,Logistics,245,995,100,37,97,519,85.77,62.98,2025-12-31
C0047,Kochi,Kerala,Tier 2,20389138,152.1,16884,9.513214,81.937129,14663,80,7.14,220.82,Yes,No,Yes,Yes,No,No,Yes,243,21,69,83,77,16.4,3498,11.3,Education,211,532,51,11,95,234,70.84,60.85,2025-12-31
C0048,Thiruvananthapuram,Kerala,Tier 3,5000601,151.46,19300,34.604489,81.701193,29733,27,6.17,145.96,Yes,Yes,Yes,No,Yes,Yes,No,76,46,70,74,62,-3.9,3539,26.0,Logistics,254,178,16,64,152,553,70.49,35.92,2025-12-31
C0049,Kozhikode,Kerala,Tier 2,4917639,275.93,602,25.829478,74.976363,16150,33,5.65,27.45,No,Yes,Yes,No,No,Yes,No,211,42,56,77,59,2.93,949,29.3,Textile,88,140,47,70,86,663,75.24,51.75,2025-12-31
C0050,Thrissur,Kerala,Tier 3,16156841,551.71,9337,9.829916,90.509522,17497,14,3.61,14.54,Yes,Yes,No,No,No,No,No,38,34,73,77,58,14.91,2819,16.8,Textile,243,869,97,57,98,352,99.11,34.77,2025-12-31
C0051,Bhopal,Madhya Pradesh,Tier 3,12426117,788.69,34531,15.7349,70.395734,16410,20,4.37,308.49,Yes,No,No,Yes,Yes,No,No,176,67,93,82,65,10.86,2979,21.2,Textile,334,940,37,8,19,692,89.06,26.8,2025-12-31
C0052,Indore,Madhya Pradesh,Tier 2,1144905,155.65,29216,9.00917,69.949768,28010,92,4.01,119.3,Yes,Yes,No,No,No,No,Yes,313,27,88,78,80,2.23,2383,16.2,Finance,33,431,65,67,99,580,73.52,51.5,2025-12-31
C0053,Jabalpur,Madhya Pradesh,Tier 3,7299788,847.06,19215,28.125439,96.960236,9059,25,2.75,23.88,Yes,No,Yes,No,No,Yes,No,173,30,95,66,78,6.7,1094,34.6,Manufacturing,141,1061,5,47,141,591,81.03,53.22,2025-12-31
C0054,Gwalior,Madhya Pradesh,Tier 2,20633579,756.24,4808,16.969431,96.988256,26055,71,4.89,238.67,Yes,Yes,No,Yes,No,No,No,85,80,95,92,66,12.66,1157,20.8,IT,445,304,68,20,77,173,74.84,61.08,2025-12-31
C0055,Mumbai,Maharashtra,Tier 1,7665527,320.28,34506,33.952852,92.532077,10711,35,5.49,171.21,Yes,No,Yes,Yes,Yes,Yes,No,308,15,56,60,57,16.82,2268,26.3,Logistics,233,112,65,70,74,662,98.6,33.98,2025-12-31
C0056,Pune,Maharashtra,Tier 1,13726204,280.92,5282,27.969794,72.584333,16119,71,4.55,106.12,Yes,No,No,No,No,Yes,No,283,81,61,75,70,5.73,2291,21.2,Manufacturing,69,153,39,50,157,433,77.42,56.92,2025-12-31
C0057,Nagpur,Maharashtra,Tier 2,11086922,796.34,20994,13.505189,72.62093,19366,69,4.74,96.34,Yes,Yes,No,No,Yes,Yes,No,44,16,73,86,93,15.29,3955,17.1,IT,453,270,57,18,67,749,80.94,29.2,2025-12-31
C0058,Nashik,Maharashtra,Tier 2,13541288,81.44,13256,18.51319,76.369449,15159,74,4.48,170.91,Yes,Yes,Yes,No,No,No,No,93,35,93,87,80,6.5,471,11.0,Textile,431,1020,68,59,38,625,96.7,13.39,2025-12-31
C0059,Thane,Maharashtra,Tier 3,5552663,358.29,20110,25.218015,82.712135,19202,78,4.69,174.94,No,Yes,No,No,Yes,No,No,342,13,93,85,71,17.24,1964,28.0,Logistics,265,399,69,80,97,156,94.57,19.53,2025-12-31
C0060,Aurangabad,Maharashtra,Tier 2,6501659,55.34,21058,20.144629,79.975843,9181,62,4.76,189.95,No,Yes,Yes,Yes,No,No,No,180,32,84,89,76,7.56,2265,25.3,Agriculture,146,621,73,39,57,309,93.06,47.29,2025-12-31
C0061,Imphal,Manipur,Tier 3,10738122,428.64,18421,16.345892,84.630827,20299,58,6.93,122.91,No,Yes,No,Yes,No,Yes,No,246,42,85,68,67,14.04,2321,33.3,Tourism,90,273,80,76,61,253,71.52,59.31,2025-12-31
C0062,Shillong,Meghalaya,Tier 2,21505867,228.6,7066,19.98574,88.803384,5794,97,6.24,2.6,Yes,No,No,No,Yes,No,No,166,17,60,96,91,0.34,405,32.8,Manufacturing,233,410,119,5,101,512,75.57,49.94,2025-12-31
C0063,Aizawl,Mizoram,Tier 3,1357156,47.51,7532,34.925191,77.716221,17388,92,4.99,153.62,Yes,No,No,Yes,Yes,No,Yes,254,42,66,55,76,13.19,1682,14.4,Mining,443,925,67,42,22,415,90.01,16.09,2025-12-31
C0064,Kohima,Nagaland,Tier 2,16120701,302.12,16756,8.198073,79.123657,17138,106,3.47,102.85,Yes,No,No,Yes,Yes,Yes,No,177,30,80,98,87,16.23,2647,27.3,Tourism,208,502,30,18,122,161,83.6,64.33,2025-12-31
C0065,Dimapur,Nagaland,Tier 3,14053463,608.57,31356,29.963165,91.257855,29553,37,6.19,211.23,Yes,No,No,Yes,Yes,Yes,Yes,313,78,64,65,75,14.65,3719,12.9,Agriculture,387,1051,13,66,114,61,83.56,35.79,2025-12-31
C0066,Bhubaneswar,Odisha,Tier 3,19021719,86.77,30802,27.510264,76.936917,3213,60,3.4,1.93,Yes,Yes,Yes,No,No,Yes,Yes,55,70,57,73,81,-0.86,1209,29.1,Mining,211,833,59,49,96,87,90.41,44.71,2025-12-31
C0067,Cuttack,Odisha,Tier 2,11769221,136.09,26259,23.336434,89.107886,9797,116,2.02,8.03,No,No,No,No,Yes,Yes,No,197,29,72,67,62,-4.26,3534,25.4,IT,143,472,10,13,152,39,83.35,45.32,2025-12-31
C0068,Rourkela,Odisha,Tier 2,8311915,639.84,26862,20.729922,83.653034,27219,120,6.27,44.3,No,Yes,No,No,Yes,No,Yes,286,38,81,74,72,-3.6,1534,25.6,Mining,304,1065,8,45,164,692,81.4,36.47,2025-12-31
C0069,Sambalpur,Odisha,Tier 3,13798904,160.87,25171,13.33249,83.59992,10396,118,3.24,265.98,Yes,No,Yes,No,No,Yes,No,144,42,68,76,96,-3.18,3784,31.2,Finance,294,440,8,35,96,694,88.09,7.37,2025-12-31
C0070,Ludhiana,Punjab,Tier 2,6413712,691.77,14722,21.902432,93.214742,13410,48,7.26,5.74,Yes,Yes,No,Yes,Yes,No,Yes,302,51,73,79,84,7.27,3043,17.7,Textile,282,1068,61,13,120,784,95.11,59.86,2025-12-31
C0071,Amritsar,Punjab,Tier 3,10599920,375.28,15001,29.496319,68.470377,20630,84,5.19,130.03,Yes,Yes,No,Yes,No,Yes,No,301,53,71,86,96,12.01,3875,14.2,Textile,106,336,94,70,125,193,97.42,37.53,2025-12-31
C0072,Jalandhar,Punjab,Tier 2,17680657,67.4,5371,35.410455,87.378251,27545,10,4.27,261.35,Yes,Yes,Yes,Yes,Yes,No,No,50,89,95,97,94,15.99,4096,10.4,Education,302,892,3,3,135,744,78.21,63.65,2025-12-31
C0073,Patiala,Punjab,Tier 2,16951573,698.66,28718,31.378863,94.383428,6006,22,4.88,75.46,No,No,No,No,Yes,No,No,255,82,70,99,69,1.9,760,26.3,IT,67,880,50,49,141,492,71.68,5.57,2025-12-31
C0074,Jaipur,Rajasthan,Tier 2,2874485,444.89,28936,26.70231,77.606848,34525,119,7.36,277.49,Yes,Yes,Yes,No,No,Yes,Yes,163,79,91,97,57,-0.87,2676,10.4,Agriculture,320,345,98,51,19,311,74.86,19.43,2025-12-31
C0075,Jodhpur,Rajasthan,Tier 3,18238265,308.7,9671,30.924444,87.990006,5069,74,6.1,107.87,Yes,No,Yes,Yes,No,No,No,35,44,83,86,69,3.18,3175,20.8,Logistics,358,828,12,80,75,257,91.32,9.92,2025-12-31
C0076,Udaipur,Rajasthan,Tier 2,12850683,616.46,10610,29.450003,77.183669,5991,21,2.03,96.25,No,No,Yes,Yes,Yes,Yes,No,249,81,90,87,81,-2.62,834,18.8,Finance,325,714,112,50,3,303,82.37,51.75,2025-12-31
C0077,Ajmer,Rajasthan,Tier 2,19291807,462.09,25451,12.915551,75.79865,11295,73,2.8,52.67,No,No,No,No,Yes,No,No,146,90,86,93,94,-0.5,976,13.4,IT,222,730,109,80,97,342,83.16,30.84,2025-12-31
C0078,Kota,Rajasthan,Tier 2,10180935,299.74,13663,21.891283,73.151481,15549,50,3.6,215.74,No,Yes,No,No,No,No,No,78,82,67,92,89,-0.86,320,33.8,Healthcare,382,479,58,38,177,75,94.49,52.74,2025-12-31
C0079,Gangtok,Sikkim,Tier 3,16853835,152.74,20346,15.018614,87.101226,25936,64,6.34,23.86,No,No,No,Yes,No,Yes,Yes,147,55,65,96,94,-3.98,3373,34.2,Textile,427,931,15,2,25,269,76.64,49.81,2025-12-31
C0080,Chennai,Tamil Nadu,Tier 1,18823152,510.22,14985,20.927578,79.342891,27808,96,5.24,155.64,No,Yes,No,Yes,No,No,Yes,79,28,77,74,76,5.47,1794,23.0,Textile,263,249,58,58,81,73,78.98,53.61,2025-12-31
C0081,Coimbatore,Tamil Nadu,Tier 2,857830,727.84,7667,27.637041,72.766269,34740,104,3.34,54.91,Yes,No,No,No,Yes,No,Yes,115,65,80,56,94,15.31,3782,24.8,Mining,22,489,28,36,180,69,87.26,52.97,2025-12-31
C0082,Madurai,Tamil Nadu,Tier 2,12373977,304.05,30486,11.304694,87.450341,18539,77,7.31,97.84,No,No,Yes,No,No,No,Yes,172,88,92,60,98,-1.92,1065,16.0,Finance,113,814,90,19,130,402,82.51,13.27,2025-12-31
C0083,Salem,Tamil Nadu,Tier 3,14294826,190.46,11853,24.092465,82.199619,7097,33,3.73,140.36,Yes,No,Yes,No,Yes,Yes,No,307,74,96,86,81,10.75,3504,27.8,Healthcare,270,392,12,73,7,784,76.59,6.96,2025-12-31
C0084,Tiruchirappalli,Tamil Nadu,Tier 2,18139151,273.82,30471,24.403863,90.403882,18730,80,4.81,177.97,No,No,Yes,No,Yes,No,Yes,146,48,57,83,71,3.02,812,21.0,Finance,417,535,28,76,176,364,95.75,41.62,2025-12-31
C0085,Hyderabad,Telangana,Tier 1,14466902,174.45,9624,30.76063,91.592366,28892,17,5.14,165.47,Yes,No,No,No,No,Yes,Yes,230,17,72,96,63,11.13,1187,16.2,Textile,444,556,99,51,125,150,87.27,21.12,2025-12-31
C0086,Warangal,Telangana,Tier 3,12688694,406.11,6601,19.682672,89.744269,25264,57,4.5,151.81,Yes,Yes,No,No,Yes,No,Yes,239,37,86,72,75,14.05,2866,23.7,Manufacturing,309,1043,102,44,174,785,71.45,10.97,2025-12-31
C0087,Karimnagar,Telangana,Tier 3,646311,140.63,10853,20.797293,68.019602,33892,64,3.11,213.77,Yes,No,Yes,No,Yes,No,No,62,57,97,96,65,-3.81,2602,28.1,Agriculture,239,236,92,13,0,223,84.26,12.96,2025-12-31
C0088,Nizamabad,Telangana,Tier 2,17529656,590.79,1108,8.233815,77.96365,6451,120,4.32,41.84,Yes,Yes,No,Yes,Yes,Yes,No,208,48,63,79,63,9.76,1270,11.7,Logistics,24,386,58,45,54,648,92.37,60.19,2025-12-31
C0089,Agartala,Tripura,Tier 3,7389521,110.22,7084,12.060381,71.571559,26420,59,3.93,133.68,Yes,Yes,No,Yes,Yes,No,Yes,174,36,88,93,87,-0.66,3309,17.4,IT,421,540,65,50,28,251,84.94,40.64,2025-12-31
C0090,Lucknow,Uttar Pradesh,Tier 2,12216445,796.48,9149,19.218309,92.330226,16290,56,5.0,54.39,No,Yes,Yes,Yes,Yes,No,Yes,40,17,80,87,73,9.46,4204,29.2,Mining,379,873,12,69,137,635,74.57,10.02,2025-12-31
C0091,Kanpur,Uttar Pradesh,Tier 2,17256538,785.95,10682,23.555315,79.331214,23284,107,6.59,211.45,Yes,No,No,Yes,Yes,Yes,Yes,242,24,84,94,93,-3.73,1538,13.0,Manufacturing,379,73,22,64,88,540,85.46,54.35,2025-12-31
C0092,Noida,Uttar Pradesh,Tier 1,8798884,175.24,8818,29.743515,93.330342,26516,25,6.24,10.07,No,No,Yes,No,Yes,No,No,281,56,58,86,91,-1.16,1388,16.4,Finance,477,286,31,66,0,50,95.67,5.74,2025-12-31
C0093,Ghaziabad,Uttar Pradesh,Tier 2,15929792,334.82,10335,13.189867,95.849922,3658,80,6.42,221.63,No,Yes,No,Yes,No,No,No,59,83,78,62,87,10.49,531,14.5,Education,43,871,10,60,72,797,95.26,24.64,2025-12-31
C0094,Varanasi,Uttar Pradesh,Tier 3,367401,338.82,19609,24.350395,76.81337,22905,41,4.55,183.83,No,Yes,Yes,Yes,Yes,No,Yes,139,79,77,95,99,15.18,2844,10.0,Mining,454,679,15,27,135,248,82.55,62.67,2025-12-31
C0095,Agra,Uttar Pradesh,Tier 2,9489378,115.35,15669,34.021337,83.073017,25465,57,4.52,232.1,Yes,Yes,No,Yes,Yes,No,Yes,141,47,71,75,80,11.12,2772,18.0,Tourism,139,202,27,18,149,116,74.65,14.86,2025-12-31
C0096,Prayagraj,Uttar Pradesh,Tier 3,10637208,369.28,23980,35.974407,74.021451,12602,69,3.46,38.05,Yes,No,Yes,Yes,No,Yes,Yes,147,55,80,87,58,10.58,2231,30.5,Manufacturing,35,878,111,58,142,771,86.45,10.68,2025-12-31
C0097,Dehradun,Uttarakhand,Tier 2,4790676,138.38,4541,32.080798,96.49445,6783,35,6.53,116.02,Yes,No,Yes,Yes,Yes,Yes,No,85,21,76,62,57,16.67,514,14.2,Logistics,241,858,65,4,97,704,82.76,26.24,2025-12-31
C0098,Haridwar,Uttarakhand,Tier 2,9326857,266.68,10240,9.004834,85.95612,10553,92,3.62,128.31,No,Yes,Yes,No,No,Yes,No,122,77,70,95,89,13.28,3233,29.5,Textile,265,1165,102,63,88,584,85.02,28.3,2025-12-31
C0099,Haldwani,Uttarakhand,Tier 2,974528,298.29,14853,8.8498,91.509992,11705,17,6.45,146.75,No,Yes,Yes,Yes,Yes,Yes,No,293,17,69,91,79,3.16,1523,14.4,Logistics,182,784,118,76,7,725,90.95,61.85,2025-12-31
C0100,Kolkata,West Bengal,Tier 1,19011495,155.1,12836,32.264208,91.501634,34297,73,4.98,55.25,Yes,Yes,Yes,Yes,Yes,Yes,No,20,52,94,67,63,2.84,1553,33.0,Textile,50,94,20,76,180,150,93.15,55.79,2025-12-31
C0101,Howrah,West Bengal,Tier 3,2533756,342.61,26425,24.994483,77.760271,13071,27,7.37,227.3,No,No,No,Yes,No,Yes,Yes,213,49,73,63,66,11.76,3307,31.3,Logistics,36,422,79,41,156,231,89.13,11.25,2025-12-31
C0102,Siliguri,West Bengal,Tier 3,4819208,308.25,5599,14.901882,96.48901,8001,91,6.87,28.42,No,No,Yes,No,Yes,Yes,Yes,199,42,61,55,58,3.88,3537,34.2,Mining,272,825,46,70,96,108,94.78,52.32,2025-12-31
