Mall_ID,Mall_Name,State_Name,City_Name,Locality_Name,Mall_Type,Floors,Total_Shops,Parking_Capacity,Food_Court,Multiplex,Hypermarket,Rating,Reviews,Opening_Year
MALL000027,Metro Plaza,Tamil Nadu,Chennai,Sector 79,Luxury,2,122,2281,Yes,Yes,No,4.8,2833,2015
MALL000028,Royal Mall,Tamil Nadu,Chennai,Sector 45,Regional,4,360,743,No,Yes,Yes,3.9,36485,2001
MALL000029,Lulu Mall,Maharashtra,Mumbai,Sector 52,Luxury,2,178,550,Yes,Yes,Yes,4.8,44985,2020
MALL000030,Grand Square Mall,Tamil Nadu,Chennai,Sector 58,Community,3,428,1317,No,No,Yes,4.0,37776,2006
MALL000031,City Centre Mall,Karnataka,Bengaluru,Sector 16,Luxury,6,223,1659,No,No,Yes,4.9,17818,2024
MALL000032,Ambience Mall,Maharashtra,Mumbai,Sector 59,Regional,2,500,1857,No,Yes,Yes,4.9,5031,2009
MALL000033,Royal Mall,Maharashtra,Mumbai,Sector 42,Regional,8,115,1551,No,No,Yes,3.6,13954,2025
MALL000034,DLF Mall of India,Maharashtra,Pune,Sector 28,Regional,3,62,221,Yes,Yes,Yes,4.1,45752,2007
MALL000035,Grand Square Mall,Delhi,New Delhi,Sector 63,Luxury,3,418,2740,No,Yes,No,4.8,47754,2005
MALL000036,Royal Mall,Maharashtra,Mumbai,Sector 63,Luxury,6,95,2789,No,Yes,Yes,4.1,24145,2024
MALL000037,Royal Mall,Maharashtra,Mumbai,Sector 58,Premium,6,462,2045,Yes,No,No,4.3,33861,1995
MALL000038,Royal Mall,Telangana,Hyderabad,Sector 30,Premium,7,335,1358,No,Yes,No,3.6,29553,2010
MALL000039,City Centre Mall,Karnataka,Bengaluru,Sector 36,Premium,4,422,2255,No,Yes,Yes,4.3,48372,2003
MALL000040,VR Mall,Tamil Nadu,Chennai,Sector 50,Luxury,5,419,1512,No,Yes,No,4.2,32619,2022
MALL000041,Ambience Mall,Tamil Nadu,Chennai,Sector 63,Regional,8,72,2192,Yes,Yes,Yes,4.8,14204,2024
MALL000042,Urban Galleria,Maharashtra,Pune,Sector 14,Regional,2,238,1240,No,Yes,Yes,4.7,5578,2011
MALL000043,Metro Plaza,Karnataka,Bengaluru,Sector 19,Regional,8,195,2982,Yes,Yes,No,3.6,33300,2006
MALL000044,Grand Square Mall,Tamil Nadu,Chennai,Sector 5,Regional,5,307,2852,Yes,No,Yes,4.7,38802,2024
MALL000045,Urban Galleria,Telangana,Hyderabad,Sector 70,Premium,6,319,1097,Yes,No,Yes,3.6,45720,1996
MALL000046,Royal Mall,Karnataka,Bengaluru,Sector 22,Community,6,332,2987,Yes,No,Yes,4.8,22057,2025
MALL000047,Grand Square Mall,Karnataka,Bengaluru,Sector 6,Luxury,4,73,1913,No,No,No,4.5,43370,1997
MALL000048,Lulu Mall,Karnataka,Bengaluru,Sector 77,Premium,7,423,368,Yes,Yes,No,4.7,38720,2011
MALL000049,VR Mall,Maharashtra,Pune,Sector 47,Regional,4,496,723,No,No,No,4.5,27839,1997
MALL000050,Royal Mall,Maharashtra,Pune,Sector 26,Regional,4,280,1570,Yes,Yes,No,4.2,43045,2016
MALL000051,Grand Square Mall,Maharashtra,Pune,Sector 26,Premium,3,309,684,Yes,Yes,No,4.1,920,2008
MALL000052,DLF Mall of India,Telangana,Hyderabad,Sector 42,Premium,6,242,2982,No,Yes,Yes,4.9,2131,2025
MALL000053,Royal Mall,Telangana,Hyderabad,Sector 43,Premium,6,355,2573,Yes,Yes,No,4.5,23721,2001
MALL000054,Grand Square Mall,Telangana,Hyderabad,Sector 79,Luxury,3,147,1732,No,Yes,Yes,4.4,24373,2013
MALL000055,Urban Galleria,Delhi,New Delhi,Sector 30,Luxury,7,296,1318,Yes,Yes,No,3.7,27390,2004
MALL000056,Urban Galleria,Delhi,New Delhi,Sector 12,Luxury,6,443,2764,Yes,No,Yes,4.5,37406,2007
MALL000057,VR Mall,Maharashtra,Pune,Sector 31,Community,6,462,2191,Yes,Yes,Yes,4.2,32577,2007
MALL000058,Royal Mall,Telangana,Hyderabad,Sector 78,Regional,6,375,2513,No,Yes,Yes,5.0,12636,1999
MALL000059,Metro Plaza,Maharashtra,Mumbai,Sector 49,Community,7,309,2829,Yes,Yes,No,4.9,44350,2025
MALL000060,City Centre Mall,Karnataka,Bengaluru,Sector 59,Luxury,4,394,1275,Yes,Yes,No,4.9,8915,2000
MALL000061,Ambience Mall,Delhi,New Delhi,Sector 62,Luxury,3,293,728,No,No,No,4.4,29019,2018
MALL000062,Phoenix Marketcity,Tamil Nadu,Chennai,Sector 13,Luxury,8,150,2989,No,No,Yes,4.5,32001,2018
MALL000063,DLF Mall of India,Karnataka,Bengaluru,Sector 44,Luxury,2,440,1227,No,No,No,3.6,12257,2003
MALL000064,Urban Galleria,Tamil Nadu,Chennai,Sector 76,Regional,4,52,1600,No,No,Yes,3.7,5033,1998
MALL000065,City Centre Mall,Maharashtra,Pune,Sector 45,Premium,5,162,2374,No,No,No,4.9,23344,2011
MALL000066,Metro Plaza,Maharashtra,Pune,Sector 25,Community,7,98,617,No,Yes,Yes,4.8,23649,2008
MALL000067,Phoenix Marketcity,Maharashtra,Pune,Sector 36,Luxury,4,320,1206,Yes,No,Yes,4.8,14713,2014
MALL000068,Phoenix Marketcity,Telangana,Hyderabad,Sector 56,Premium,2,102,2109,No,Yes,No,4.7,1300,2002
MALL000069,Metro Plaza,Telangana,Hyderabad,Sector 56,Luxury,6,393,300,No,No,Yes,3.6,2001,2005
MALL000070,Metro Plaza,Tamil Nadu,Chennai,Sector 51,Luxury,3,490,911,No,No,No,3.6,22211,1996
MALL000071,Royal Mall,Maharashtra,Pune,Sector 71,Regional,2,158,543,Yes,No,No,4.1,26962,2000
MALL000072,Grand Square Mall,Delhi,New Delhi,Sector 46,Community,3,261,2715,Yes,Yes,Yes,4.2,38329,2002
MALL000073,Grand Square Mall,Telangana,Hyderabad,Sector 76,Luxury,7,473,2195,Yes,No,No,4.4,36754,2001
MALL000074,Urban Galleria,Telangana,Hyderabad,Sector 35,Luxury,2,280,445,No,Yes,Yes,3.5,2971,2015
MALL000075,Grand Square Mall,Maharashtra,Mumbai,Sector 10,Luxury,6,444,1987,Yes,Yes,No,4.0,48619,2002
MALL000076,Urban Galleria,Delhi,New Delhi,Sector 22,Premium,8,420,2335,No,No,No,4.1,45687,2023
MALL000077,Urban Galleria,Delhi,New Delhi,Sector 6,Luxury,4,449,2576,Yes,Yes,No,4.0,48396,2025
MALL000078,City Centre Mall,Tamil Nadu,Chennai,Sector 45,Community,2,55,1062,No,Yes,No,3.6,39205,2021
MALL000079,Metro Plaza,Delhi,New Delhi,Sector 20,Luxury,4,325,2758,Yes,Yes,Yes,3.6,29636,2011
MALL000080,Royal Mall,Telangana,Hyderabad,Sector 48,Regional,5,170,593,No,No,No,4.1,41914,2012
MALL000081,DLF Mall of India,Delhi,New Delhi,Sector 75,Regional,3,398,1798,Yes,No,Yes,4.4,38440,2020
MALL000082,Urban Galleria,Karnataka,Bengaluru,Sector 69,Community,7,332,1061,Yes,No,No,3.9,22286,2004
MALL000083,Metro Plaza,Maharashtra,Mumbai,Sector 64,Luxury,6,360,2295,Yes,No,Yes,4.2,359,2021
MALL000084,Grand Square Mall,Delhi,New Delhi,Sector 5,Luxury,5,176,2862,No,Yes,No,4.6,26021,1999
MALL000085,Grand Square Mall,Karnataka,Bengaluru,Sector 20,Community,6,315,1782,Yes,No,No,4.9,47180,1999
MALL000086,Ambience Mall,Tamil Nadu,Chennai,Sector 63,Luxury,5,255,2420,No,No,No,4.4,31336,2005
MALL000087,Urban Galleria,Karnataka,Bengaluru,Sector 8,Regional,8,271,2844,Yes,No,No,4.7,17811,2020
MALL000088,Metro Plaza,Karnataka,Bengaluru,Sector 53,Regional,7,304,742,Yes,No,No,3.8,8051,2023
MALL000089,City Centre Mall,Delhi,New Delhi,Sector 62,Community,4,104,2494,Yes,No,Yes,4.6,49181,1997
MALL000090,Urban Galleria,Delhi,New Delhi,Sector 66,Regional,8,84,1909,Yes,No,Yes,4.5,19494,2021
MALL000091,Royal Mall,Tamil Nadu,Chennai,Sector 67,Premium,6,475,2989,No,No,Yes,4.3,28626,2022
MALL000092,Urban Galleria,Delhi,New Delhi,Sector 68,Premium,2,245,2068,No,No,Yes,4.1,33369,2002
MALL000093,VR Mall,Delhi,New Delhi,Sector 17,Premium,6,427,1680,Yes,No,No,5.0,3498,2008
MALL000094,DLF Mall of India,Karnataka,Bengaluru,Sector 64,Premium,6,384,1983,Yes,Yes,No,4.1,23689,2001
MALL000095,City Centre Mall,Telangana,Hyderabad,Sector 17,Regional,4,439,1492,No,No,No,4.6,16999,2007
MALL000096,Urban Galleria,Telangana,Hyderabad,Sector 26,Premium,8,500,2841,No,Yes,No,4.2,33165,2017
MALL000097,Metro Plaza,Maharashtra,Pune,Sector 51,Premium,7,94,2188,No,No,No,4.4,18536,2014
MALL000098,City Centre Mall,Telangana,Hyderabad,Sector 78,Premium,8,182,1550,No,Yes,Yes,4.0,27719,2016
MALL000099,Urban Galleria,Tamil Nadu,Chennai,Sector 16,Luxury,2,82,1729,No,No,Yes,4.3,7593,1996
MALL000100,Urban Galleria,Delhi,New Delhi,Sector 32,Community,4,453,896,Yes,Yes,Yes,3.8,42849,2016
MALL000101,City Centre Mall,Maharashtra,Mumbai,Sector 35,Luxury,8,369,868,Yes,Yes,No,4.1,10708,1996
MALL000102,Lulu Mall,Karnataka,Bengaluru,Sector 18,Premium,5,429,2361,Yes,No,No,5.0,9915,2001
MALL000103,Grand Square Mall,Karnataka,Bengaluru,Sector 59,Luxury,7,289,2631,No,No,No,4.1,44413,2019
MALL000104,Metro Plaza,Delhi,New Delhi,Sector 64,Luxury,8,355,402,Yes,No,No,4.6,25490,2014
MALL000105,Metro Plaza,Tamil Nadu,Chennai,Sector 71,Luxury,8,147,350,No,Yes,No,4.2,39711,1998
MALL000106,Royal Mall,Karnataka,Bengaluru,Sector 11,Regional,2,221,871,No,No,No,3.7,42352,2018
MALL000107,Grand Square Mall,Delhi,New Delhi,Sector 69,Regional,7,221,1677,Yes,Yes,Yes,4.2,25118,2000
MALL000108,Grand Square Mall,Karnataka,Bengaluru,Sector 40,Community,2,317,1887,No,No,Yes,4.2,26100,2001
MALL000109,Metro Plaza,Maharashtra,Pune,Sector 29,Community,7,487,1665,No,No,Yes,4.8,2168,2020
MALL000110,City Centre Mall,Telangana,Hyderabad,Sector 14,Regional,7,111,1581,No,Yes,No,4.9,46701,2016
MALL000111,City Centre Mall,Tamil Nadu,Chennai,Sector 34,Luxury,4,150,1932,Yes,Yes,Yes,4.7,29289,2009
MALL000112,Metro Plaza,Telangana,Hyderabad,Sector 48,Luxury,8,107,1940,Yes,Yes,Yes,4.9,8367,2012
MALL000113,Phoenix Marketcity,Maharashtra,Pune,Sector 71,Luxury,8,499,651,Yes,Yes,Yes,4.1,14024,2017
MALL000114,Phoenix Marketcity,Telangana,Hyderabad,Sector 13,Community,8,492,2541,No,Yes,Yes,3.9,4170,2004
MALL000115,Metro Plaza,Maharashtra,Mumbai,Sector 5,Luxury,4,216,1863,No,Yes,No,3.5,5757,2025
MALL000116,Royal Mall,Delhi,New Delhi,Sector 10,Luxury,4,104,538,No,Yes,Yes,4.5,46473,1999
MALL000117,Grand Square Mall,Maharashtra,Pune,Sector 29,Community,7,183,2652,No,Yes,Yes,3.9,28896,2006
MALL000118,Urban Galleria,Tamil Nadu,Chennai,Sector 3,Community,8,291,2490,No,No,No,3.6,3409,2011
MALL000119,Grand Square Mall,Tamil Nadu,Chennai,Sector 39,Luxury,3,70,1528,Yes,Yes,Yes,3.9,11836,2006
MALL000120,Royal Mall,Karnataka,Bengaluru,Sector 21,Regional,8,338,1231,No,No,No,3.5,20221,2001
MALL000121,Urban Galleria,Maharashtra,Mumbai,Sector 67,Premium,6,310,1784,Yes,Yes,No,4.1,1357,2024
MALL000122,Royal Mall,Tamil Nadu,Chennai,Sector 36,Premium,8,161,785,No,Yes,Yes,4.8,23064,2001
MALL000123,VR Mall,Telangana,Hyderabad,Sector 10,Luxury,7,306,542,No,No,Yes,4.4,21655,2024
MALL000124,Metro Plaza,Telangana,Hyderabad,Sector 25,Premium,4,484,1489,No,No,Yes,3.9,43329,2024
MALL000125,Metro Plaza,Maharashtra,Mumbai,Sector 79,Community,5,159,377,No,Yes,No,4.6,26031,2006
MALL000126,Urban Galleria,Karnataka,Bengaluru,Sector 52,Community,7,455,997,Yes,Yes,Yes,5.0,48115,1998
MALL000127,Phoenix Marketcity,Tamil Nadu,Chennai,Sector 52,Regional,8,480,1926,Yes,Yes,No,4.3,24211,2000
MALL000128,Phoenix Marketcity,Telangana,Hyderabad,Sector 31,Premium,2,369,1783,No,Yes,No,3.8,47918,2019
MALL000129,Urban Galleria,Tamil Nadu,Chennai,Sector 4,Regional,6,437,1132,Yes,No,Yes,4.1,47679,1997
MALL000130,Phoenix Marketcity,Delhi,New Delhi,Sector 4,Regional,2,391,1082,Yes,No,Yes,3.7,38207,2003
MALL000131,Urban Galleria,Delhi,New Delhi,Sector 55,Community,8,227,1604,No,No,Yes,4.5,49886,2006
MALL000132,Urban Galleria,Delhi,New Delhi,Sector 57,Regional,7,285,1902,No,No,Yes,4.6,10973,2024
MALL000133,Grand Square Mall,Delhi,New Delhi,Sector 16,Regional,8,326,1934,No,No,Yes,4.2,12535,2025
MALL000134,DLF Mall of India,Maharashtra,Pune,Sector 8,Regional,2,435,1886,Yes,No,No,4.8,44973,2024
MALL000135,Ambience Mall,Karnataka,Bengaluru,Sector 35,Premium,6,496,573,No,Yes,No,4.6,18071,2002
MALL000136,Grand Square Mall,Karnataka,Bengaluru,Sector 69,Community,3,246,1073,No,No,No,4.0,12191,2011
MALL000137,Metro Plaza,Telangana,Hyderabad,Sector 9,Regional,5,351,237,Yes,No,No,3.8,44101,2018
MALL000138,Metro Plaza,Tamil Nadu,Chennai,Sector 58,Community,7,200,2051,Yes,Yes,Yes,3.6,47012,2008
MALL000139,Phoenix Marketcity,Maharashtra,Pune,Sector 27,Premium,5,380,273,No,Yes,Yes,3.6,42994,2013
MALL000140,Metro Plaza,Telangana,Hyderabad,Sector 57,Luxury,5,242,2467,Yes,Yes,Yes,4.3,40648,2009
MALL000141,Royal Mall,Maharashtra,Mumbai,Sector 49,Regional,8,187,423,No,No,No,3.9,12082,1997
MALL000142,Metro Plaza,Telangana,Hyderabad,Sector 65,Luxury,3,62,2917,Yes,Yes,Yes,3.8,9851,2002
MALL000143,VR Mall,Delhi,New Delhi,Sector 66,Luxury,4,150,1818,Yes,Yes,Yes,4.5,12437,1996
MALL000144,Phoenix Marketcity,Karnataka,Bengaluru,Sector 57,Premium,6,254,697,No,Yes,No,3.8,47014,2023
MALL000145,Grand Square Mall,Delhi,New Delhi,Sector 15,Luxury,3,431,1379,No,Yes,Yes,4.0,35641,2020
MALL000146,Phoenix Marketcity,Karnataka,Bengaluru,Sector 21,Premium,4,160,2631,No,Yes,Yes,3.9,43414,1996
MALL000147,Grand Square Mall,Tamil Nadu,Chennai,Sector 5,Premium,4,278,1220,No,No,No,3.7,12183,1999
MALL000148,Royal Mall,Karnataka,Bengaluru,Sector 45,Premium,5,419,2700,Yes,Yes,No,4.1,2977,2022
MALL000149,Phoenix Marketcity,Karnataka,Bengaluru,Sector 61,Regional,4,199,359,No,Yes,Yes,4.5,15301,2008
MALL000150,Royal Mall,Delhi,New Delhi,Sector 27,Community,2,263,610,Yes,Yes,No,3.6,23231,2002
MALL000151,Royal Mall,Karnataka,Bengaluru,Sector 3,Regional,2,308,1320,Yes,No,No,4.0,23372,2005
MALL000152,City Centre Mall,Karnataka,Bengaluru,Sector 20,Regional,5,445,1403,No,Yes,No,4.6,39053,2009
MALL000153,Royal Mall,Karnataka,Bengaluru,Sector 70,Luxury,3,179,2559,Yes,No,Yes,4.9,48832,2003
MALL000154,Lulu Mall,Karnataka,Bengaluru,Sector 44,Regional,2,175,1605,Yes,No,Yes,3.7,31732,2016
MALL000155,Royal Mall,Maharashtra,Mumbai,Sector 39,Regional,5,116,2510,No,No,Yes,4.4,2655,2002
MALL000156,Urban Galleria,Tamil Nadu,Chennai,Sector 29,Premium,8,114,2367,Yes,No,No,3.8,46278,2001
MALL000157,Ambience Mall,Delhi,New Delhi,Sector 33,Regional,8,99,2981,No,Yes,Yes,4.7,4120,2013
MALL000158,Lulu Mall,Telangana,Hyderabad,Sector 37,Premium,3,162,1409,No,No,No,4.1,19363,2020
MALL000159,Ambience Mall,Telangana,Hyderabad,Sector 50,Community,8,479,1725,No,Yes,No,4.1,18456,2019
MALL000160,City Centre Mall,Maharashtra,Pune,Sector 41,Regional,4,291,2460,No,Yes,No,5.0,29390,2001
MALL000161,Grand Square Mall,Maharashtra,Mumbai,Sector 64,Regional,3,392,659,Yes,No,No,4.0,6684,2006
MALL000162,Metro Plaza,Karnataka,Bengaluru,Sector 26,Premium,2,356,1920,No,No,No,4.3,17471,2015
MALL000163,Grand Square Mall,Maharashtra,Pune,Sector 4,Regional,6,110,1718,Yes,Yes,Yes,3.9,8416,1998
MALL000164,Royal Mall,Tamil Nadu,Chennai,Sector 55,Regional,3,73,300,No,Yes,No,4.6,49468,2013
MALL000165,City Centre Mall,Maharashtra,Pune,Sector 53,Community,7,154,2732,No,No,Yes,3.6,17306,2000
MALL000166,Grand Square Mall,Maharashtra,Pune,Sector 64,Regional,6,242,1911,Yes,Yes,Yes,4.1,1132,1996
MALL000167,Grand Square Mall,Tamil Nadu,Chennai,Sector 36,Luxury,5,123,1918,No,No,Yes,4.8,12399,2016
MALL000168,Royal Mall,Telangana,Hyderabad,Sector 32,Regional,3,94,2051,No,No,Yes,4.6,38504,2008
MALL000169,Grand Square Mall,Delhi,New Delhi,Sector 64,Community,5,242,2028,No,Yes,No,4.8,4141,2015
MALL000170,Phoenix Marketcity,Maharashtra,Pune,Sector 56,Luxury,8,275,2932,No,No,Yes,4.2,8308,2011
MALL000171,City Centre Mall,Delhi,New Delhi,Sector 9,Premium,7,385,1207,Yes,No,No,3.6,2715,1997
MALL000172,Royal Mall,Telangana,Hyderabad,Sector 67,Premium,5,307,1281,No,No,No,3.9,1811,2010
MALL000173,Grand Square Mall,Telangana,Hyderabad,Sector 41,Luxury,7,88,2691,No,No,No,4.4,32449,2020
MALL000174,Grand Square Mall,Telangana,Hyderabad,Sector 59,Luxury,3,210,1109,Yes,Yes,No,4.8,31806,2011
MALL000175,Grand Square Mall,Telangana,Hyderabad,Sector 78,Community,6,265,2423,No,No,No,4.2,41361,2003
MALL000176,Urban Galleria,Karnataka,Bengaluru,Sector 19,Regional,8,167,1867,No,No,Yes,4.6,23332,2023
MALL000177,Royal Mall,Karnataka,Bengaluru,Sector 9,Community,8,182,779,Yes,Yes,No,4.9,45417,2014
MALL000178,DLF Mall of India,Tamil Nadu,Chennai,Sector 21,Premium,8,480,1633,Yes,No,No,4.6,39666,2024
MALL000179,Metro Plaza,Telangana,Hyderabad,Sector 62,Luxury,4,444,2056,Yes,No,No,4.2,48947,2011
MALL000180,Metro Plaza,Maharashtra,Pune,Sector 18,Community,8,446,1457,Yes,Yes,No,3.9,11357,2018
MALL000181,Grand Square Mall,Telangana,Hyderabad,Sector 43,Premium,4,277,1134,Yes,Yes,Yes,4.1,32727,2002
MALL000182,Urban Galleria,Maharashtra,Pune,Sector 35,Community,3,479,2041,No,No,Yes,4.5,45149,1999
MALL000183,Metro Plaza,Telangana,Hyderabad,Sector 40,Community,5,361,1396,No,Yes,No,4.1,16499,2024
MALL000184,Royal Mall,Maharashtra,Pune,Sector 32,Luxury,5,393,2847,Yes,No,Yes,4.8,36964,2020
MALL000185,Royal Mall,Maharashtra,Mumbai,Sector 74,Community,6,381,2063,No,Yes,No,3.7,17136,2025
MALL000186,City Centre Mall,Tamil Nadu,Chennai,Sector 1,Premium,5,260,599,Yes,No,Yes,5.0,2150,2021
MALL000187,Grand Square Mall,Maharashtra,Mumbai,Sector 64,Premium,5,82,578,Yes,Yes,Yes,4.9,49596,2002
MALL000188,DLF Mall of India,Telangana,Hyderabad,Sector 35,Luxury,6,241,1880,No,Yes,No,4.2,26311,1997
MALL000189,Urban Galleria,Delhi,New Delhi,Sector 56,Regional,5,79,2997,Yes,No,Yes,3.6,36114,2022
MALL000190,Royal Mall,Maharashtra,Pune,Sector 1,Community,7,485,2738,No,No,Yes,4.8,26609,2016
MALL000191,Royal Mall,Karnataka,Bengaluru,Sector 43,Premium,7,405,2442,Yes,Yes,Yes,3.5,20811,2000
MALL000192,Phoenix Marketcity,Telangana,Hyderabad,Sector 6,Premium,6,58,2508,Yes,Yes,No,3.8,2937,2003
MALL000193,Urban Galleria,Maharashtra,Pune,Sector 31,Community,2,496,1508,No,No,No,4.4,21418,1999
MALL000194,City Centre Mall,Delhi,New Delhi,Sector 52,Regional,3,251,1071,Yes,Yes,No,4.6,32432,1998
MALL000195,Metro Plaza,Delhi,New Delhi,Sector 28,Regional,5,301,1420,Yes,Yes,Yes,4.7,23823,2008
MALL000196,Phoenix Marketcity,Delhi,New Delhi,Sector 36,Regional,3,165,1294,No,Yes,Yes,4.9,8892,2001
MALL000197,Urban Galleria,Delhi,New Delhi,Sector 43,Regional,7,451,556,No,Yes,Yes,4.8,7837,2000
MALL000198,Phoenix Marketcity,Telangana,Hyderabad,Sector 24,Luxury,7,417,1982,Yes,Yes,No,4.8,3760,2009
MALL000199,VR Mall,Delhi,New Delhi,Sector 10,Premium,4,300,1255,Yes,No,No,4.4,17215,2010
MALL000200,VR Mall,Maharashtra,Mumbai,Sector 18,Community,7,108,1791,Yes,No,Yes,3.7,14142,2014
MALL000201,Ambience Mall,Maharashtra,Mumbai,Sector 70,Luxury,7,163,793,Yes,Yes,Yes,3.9,12836,2004
MALL000202,DLF Mall of India,Telangana,Hyderabad,Sector 70,Community,3,258,2126,Yes,No,Yes,4.2,36013,2018
MALL000203,Lulu Mall,Delhi,New Delhi,Sector 39,Premium,4,452,1302,Yes,No,Yes,4.5,49163,2020
MALL000204,Urban Galleria,Telangana,Hyderabad,Sector 12,Regional,2,492,1834,No,Yes,Yes,3.5,44313,2002
MALL000205,City Centre Mall,Karnataka,Bengaluru,Sector 59,Premium,2,357,609,No,No,Yes,3.6,30706,2023
MALL000206,Grand Square Mall,Tamil Nadu,Chennai,Sector 45,Community,7,224,940,No,Yes,No,4.4,25910,2005
MALL000207,Metro Plaza,Tamil Nadu,Chennai,Sector 65,Premium,3,418,606,No,No,Yes,4.1,49801,2002
MALL000208,DLF Mall of India,Karnataka,Bengaluru,Sector 14,Community,4,306,2036,No,No,Yes,4.9,37558,2011
MALL000209,City Centre Mall,Delhi,New Delhi,Sector 62,Premium,5,469,2402,Yes,Yes,No,4.7,27269,2010
MALL000210,City Centre Mall,Delhi,New Delhi,Sector 71,Regional,8,265,407,No,Yes,Yes,3.9,38442,2023
MALL000211,City Centre Mall,Karnataka,Bengaluru,Sector 77,Premium,4,209,464,No,No,Yes,3.8,40583,2019
MALL000212,Metro Plaza,Tamil Nadu,Chennai,Sector 13,Community,2,78,2571,No,Yes,No,4.3,11096,2002
MALL000213,Urban Galleria,Telangana,Hyderabad,Sector 76,Luxury,7,357,367,No,No,No,4.6,49935,2007
MALL000214,City Centre Mall,Tamil Nadu,Chennai,Sector 37,Regional,5,103,2329,No,Yes,No,4.7,15135,2017
MALL000215,Metro Plaza,Delhi,New Delhi,Sector 78,Premium,4,154,2119,Yes,Yes,No,4.9,49011,2011
MALL000216,Urban Galleria,Delhi,New Delhi,Sector 69,Community,2,278,1841,No,No,No,3.8,11371,2021
MALL000217,Metro Plaza,Maharashtra,Pune,Sector 35,Premium,5,102,1308,No,No,Yes,4.9,31613,2018
MALL000218,Grand Square Mall,Telangana,Hyderabad,Sector 70,Community,3,267,732,No,No,No,3.5,31337,2018
MALL000219,Royal Mall,Maharashtra,Mumbai,Sector 22,Regional,4,60,2833,Yes,No,No,4.1,45522,2018
MALL000220,Metro Plaza,Karnataka,Bengaluru,Sector 40,Luxury,5,367,600,No,Yes,No,4.9,37661,1999
MALL000221,DLF Mall of India,Delhi,New Delhi,Sector 32,Luxury,3,263,1563,No,Yes,No,3.7,49848,2015
