School_ID,School_Name,City_ID,City_Name,State_Name,Locality_ID,Locality_Name,School_Type,Board,Management,Established_Year,Rating,Green_School,Campus_Area_Acres,Student_Count,Teacher_Count,Student_Teacher_Ratio,Annual_Fees_INR,Transport,Hostel,Smart_Classrooms,Sports_Complex,Swimming_Pool,Robotics_Lab,Science_Lab,Computer_Lab,Library,CCTV,GPS_Bus,Nearby_Metro,Distance_to_Metro_km,Latitude,Longitude,Website,Last_Updated
S00011,Oxford Public School,C0644,Chandigarh City 644,Chandigarh,L08386,Block 80 County,Government,IB,Government,1973,2.7,Yes,27.33,4402,142,31.0,138314,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,8.04,12.486372,76.503063,https://school11.edu.in,2025-12-31
S00012,Heritage Academy,C0647,Puducherry City 647,Puducherry,L08418,Colony 129 City,Kendriya Vidyalaya,Cambridge,Government,1951,3.6,Yes,3.86,6685,191,35.0,126754,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,18.65,36.849045,81.422872,https://school12.edu.in,2025-12-31
S00013,Springfield School,C0891,Chandigarh City 891,Chandigarh,L11619,Colony 30 City,Private,IGCSE,Trust,1969,3.2,Yes,28.99,874,46,19.0,121743,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,3.4,14.797373,87.136286,https://school13.edu.in,2025-12-31
S00014,St. Xavier's Senior Secondary School,C0845,West City 845,West Bengal,L11035,Enclave 74 Residency,Government,CBSE,Government,1969,3.9,No,23.72,4256,133,32.0,92643,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,19.48,14.574774,85.182846,https://school14.edu.in,2025-12-31
S00015,National Public School,C0714,Tamil City 714,Tamil Nadu,L09299,Colony 54 Enclave,International,State Board,Government,1972,4.3,No,31.51,4009,211,19.0,230856,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,16.45,31.922925,95.553136,https://school15.edu.in,2025-12-31
S00016,National School,C0670,Chhattisgarh City 670,Chhattisgarh,L08722,Garden 135 Gardens,Residential,State Board,Private,1985,4.7,No,14.69,5346,243,22.0,282075,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,8.84,26.318306,96.865911,https://school16.edu.in,2025-12-31
S00017,Lotus Senior Secondary School,C0057,Nagpur,Maharashtra,L00739,Phase 77 Greens,Residential,ISC,Government,2005,2.5,Yes,15.2,2700,150,18.0,51686,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,13.37,21.769811,72.542973,https://school17.edu.in,2025-12-31
S00018,Heritage Academy,C0280,Lakshadweep City 280,Lakshadweep,L03642,Colony 21 County,Government,ISC,Private,1976,3.6,No,19.13,2340,117,20.0,246819,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,0.68,23.839883,91.070271,https://school18.edu.in,2025-12-31
S00019,Scholars Academy,C0293,Delhi City 293,Delhi,L03832,Park 104 Paradise,Jawahar Navodaya Vidyalaya,IGCSE,Trust,1974,4.3,No,20.28,2460,82,30.0,142918,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,16.07,27.706377,94.694788,https://school19.edu.in,2025-12-31
S00020,Future Senior Secondary School,C0720,Punjab City 720,Punjab,L09385,Extension 69 Gardens,Kendriya Vidyalaya,Cambridge,Private,2014,3.6,No,35.99,5890,190,31.0,404889,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,5.58,9.096725,82.722915,https://school20.edu.in,2025-12-31
S00021,Scholars Public School,C0668,Kerala City 668,Kerala,L08710,Extension 61 Gardens,International,ICSE,Private,1969,4.3,Yes,17.18,3232,101,32.0,188477,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,15.12,30.914902,76.847865,https://school21.edu.in,2025-12-31
S00022,Future World School,C0798,Chhattisgarh City 798,Chhattisgarh,L10432,Extension 60 Greens,Residential,State Board,Government,1984,3.6,Yes,16.17,6664,238,28.0,365682,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,1.2,15.669675,91.588198,https://school22.edu.in,2025-12-31
S00023,Bright Future Academy,C0906,Delhi City 906,Delhi,L11807,Layout 24 County,Kendriya Vidyalaya,ISC,Private,1985,4.4,No,10.84,2925,117,25.0,57942,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.92,28.030643,88.856418,https://school23.edu.in,2025-12-31
S00024,Bright Future Academy,C0323,Uttarakhand City 323,Uttarakhand,L04209,Park 64 Heights,Boarding,Cambridge,Private,1971,4.0,Yes,31.33,2538,141,18.0,100860,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,15.97,13.997332,74.927564,https://school24.edu.in,2025-12-31
S00025,Global Senior Secondary School,C0887,Assam City 887,Assam,L11560,Nagar 99 Vista,Jawahar Navodaya Vidyalaya,IGCSE,Private,1958,3.8,No,1.49,2624,164,16.0,235231,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,16.55,27.354156,70.426888,https://school25.edu.in,2025-12-31
S00026,Wisdom Public School,C0292,Rajasthan City 292,Rajasthan,L03809,Block 67 Enclave,Private,ISC,Private,1981,4.4,No,14.12,3933,171,23.0,274158,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,4.98,8.660773,74.541668,https://school26.edu.in,2025-12-31
S00027,Future Public School,C0492,Ladakh City 492,Ladakh,L06392,Park 141 Enclave,Government Aided,IGCSE,Trust,2012,3.6,Yes,4.63,3720,124,30.0,131180,No,Yes,No,No,No,No,No,No,No,No,No,No,5.18,23.67125,89.503149,https://school27.edu.in,2025-12-31
S00028,Wisdom School,C0043,Mysuru,Karnataka,L00565,Block 29 Enclave,International,ICSE,Government,2011,3.2,No,39.24,1050,50,21.0,451537,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,14.01,14.131644,78.771423,https://school28.edu.in,2025-12-31
S00029,Cambridge School,C0869,Odisha City 869,Odisha,L11356,Extension 140 City,Government,IB,Private,2010,3.7,No,8.19,1820,52,35.0,41936,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,19.88,19.486095,86.625684,https://school29.edu.in,2025-12-31
S00030,St. Xavier's Senior Secondary School,C0744,Assam City 744,Assam,L09694,Park 127 Heights,Residential,Cambridge,Trust,1998,3.6,No,12.6,1600,50,32.0,323556,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.3,8.129792,91.749055,https://school30.edu.in,2025-12-31
S00031,Cambridge International School,C0484,Himachal City 484,Himachal Pradesh,L06276,Layout 55 Greens,Government,ICSE,Private,1986,4.3,No,3.78,3596,124,29.0,137381,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,11.98,25.430504,92.102919,https://school31.edu.in,2025-12-31
S00032,Heritage Academy,C0002,Vijayawada,Andhra Pradesh,L00030,Layout 3 Township,Private,State Board,Trust,1988,4.2,No,20.52,7623,231,33.0,273890,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,15.31,27.650716,72.581293,https://school32.edu.in,2025-12-31
S00033,Oxford World School,C0502,Madhya City 502,Madhya Pradesh,L06530,Phase 135 Residency,Government Aided,ISC,Government,2024,3.6,No,38.79,1920,64,30.0,261420,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,9.21,12.174104,74.146214,https://school33.edu.in,2025-12-31
S00034,Wisdom School,C0569,Chandigarh City 569,Chandigarh,L07438,Block 86 City,Jawahar Navodaya Vidyalaya,Cambridge,Trust,1950,4.1,No,17.12,2300,100,23.0,113347,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,19.47,23.457209,70.211469,https://school34.edu.in,2025-12-31
S00035,Sunrise International School,C0955,Karnataka City 955,Karnataka,L12422,Block 77 Heights,Government,IB,Private,1961,3.1,Yes,19.0,3850,175,22.0,76586,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,18.45,9.856039,88.852801,https://school35.edu.in,2025-12-31
S00036,Scholars International School,C0223,Odisha City 223,Odisha,L02907,Garden 70 County,Jawahar Navodaya Vidyalaya,ISC,Trust,1984,4.6,No,29.32,2850,150,19.0,454078,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,4.82,14.253324,91.54433,https://school36.edu.in,2025-12-31
S00037,Ryan International International School,C0770,Jharkhand City 770,Jharkhand,L10057,Block 14 Township,Government Aided,IGCSE,Private,1999,5.0,Yes,20.32,6104,218,28.0,34408,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,15.67,14.248092,90.245579,https://school37.edu.in,2025-12-31
S00038,Lotus World School,C0706,Rajasthan City 706,Rajasthan,L09192,Extension 85 Gardens,Private,Cambridge,Private,2018,3.5,No,25.45,2175,87,25.0,480273,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,13.94,29.928932,95.387795,https://school38.edu.in,2025-12-31
S00039,Wisdom School,C0176,Sikkim City 176,Sikkim,L02311,Nagar 94 City,Boarding,ISC,Private,2005,2.9,No,23.07,432,27,16.0,430508,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,5.26,33.234357,68.145637,https://school39.edu.in,2025-12-31
S00040,Heritage World School,C0524,Chhattisgarh City 524,Chhattisgarh,L06826,Block 42 Enclave,International,CBSE,Private,1994,5.0,No,25.92,638,22,29.0,237460,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,0.63,25.448602,96.37085,https://school40.edu.in,2025-12-31
S00041,Springfield School,C0941,Chandigarh City 941,Chandigarh,L12243,Layout 102 Residency,Government,IB,Trust,2013,4.6,No,31.25,6264,232,27.0,135648,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,1.98,22.21672,83.512954,https://school41.edu.in,2025-12-31
S00042,St. Xavier's Public School,C0980,Himachal City 980,Himachal Pradesh,L12724,Enclave 71 Greens,Residential,ICSE,Trust,1996,3.8,No,33.39,2375,95,25.0,149726,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,0.48,25.629031,84.159176,https://school42.edu.in,2025-12-31
S00043,Holy Child International School,C0330,Assam City 330,Assam,L04285,Block 44 Heights,Boarding,IB,Private,1997,2.8,Yes,19.39,2826,157,18.0,339820,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,2.5,36.618372,75.011459,https://school43.edu.in,2025-12-31
S00044,Modern Academy,C0392,Maharashtra City 392,Maharashtra,L05085,Phase 58 Paradise,Government Aided,ISC,Trust,2019,3.5,Yes,35.53,2560,80,32.0,358367,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,19.62,26.969694,86.978524,https://school44.edu.in,2025-12-31
S00045,Global School,C0123,Chandigarh City 123,Chandigarh,L01612,Garden 4 County,Jawahar Navodaya Vidyalaya,ISC,Government,1965,4.9,No,4.58,3648,114,32.0,126204,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,15.82,15.351641,83.569186,https://school45.edu.in,2025-12-31
S00046,Springfield Public School,C0629,Maharashtra City 629,Maharashtra,L08220,Park 36 County,International,IB,Private,1972,2.8,Yes,6.14,2580,172,15.0,202822,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,15.6,35.223984,70.660656,https://school46.edu.in,2025-12-31
S00047,Green Valley Academy,C0423,Ladakh City 423,Ladakh,L05475,Layout 35 Greens,Residential,IB,Government,2016,3.3,Yes,3.37,4983,151,33.0,266124,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,12.56,23.913069,89.026017,https://school47.edu.in,2025-12-31
S00048,Wisdom Academy,C0132,Mizoram City 132,Mizoram,L01698,Sector 122 Township,Boarding,State Board,Trust,2005,2.7,Yes,34.26,5408,169,32.0,356267,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,6.39,14.779741,74.488411,https://school48.edu.in,2025-12-31
S00049,Modern World School,C0358,Chandigarh City 358,Chandigarh,L04646,Enclave 61 County,Government Aided,CBSE,Government,1960,2.7,Yes,30.04,2210,85,26.0,210374,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,11.64,16.202059,68.635064,https://school49.edu.in,2025-12-31
S00050,Cambridge Public School,C0133,Punjab City 133,Punjab,L01718,Garden 97 Township,Private,ISC,Trust,1997,2.8,No,23.39,1406,74,19.0,438216,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,11.41,17.962456,80.155639,https://school50.edu.in,2025-12-31
S00051,Modern World School,C0123,Chandigarh City 123,Chandigarh,L01612,Garden 4 County,Government,CBSE,Trust,2017,3.0,No,18.69,2074,122,17.0,97527,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,9.82,15.351641,83.569186,https://school51.edu.in,2025-12-31
S00052,Springfield Public School,C0092,Noida,Uttar Pradesh,L01205,Enclave 39 Enclave,Private,ISC,Private,1964,3.2,No,21.55,3724,133,28.0,176700,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,2.58,10.978543,68.284427,https://school52.edu.in,2025-12-31
S00053,Sunrise Public School,C0733,Kerala City 733,Kerala,L09536,Layout 12 Vista,Jawahar Navodaya Vidyalaya,IB,Trust,1979,3.8,No,3.81,4116,147,28.0,466812,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,0.61,21.148299,76.830101,https://school53.edu.in,2025-12-31
S00054,Holy Child World School,C0084,Tiruchirappalli,Tamil Nadu,L01092,Phase 39 Heights,Kendriya Vidyalaya,CBSE,Private,1963,3.1,No,21.43,2060,103,20.0,222495,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,2.24,19.329896,80.325664,https://school54.edu.in,2025-12-31
S00055,Sunrise Senior Secondary School,C0920,West City 920,West Bengal,L11981,Layout 42 Township,International,Cambridge,Trust,1959,2.9,No,19.09,1785,85,21.0,310559,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,10.25,35.983429,83.059459,https://school55.edu.in,2025-12-31
S00056,Holy Child School,C0182,Sikkim City 182,Sikkim,L02393,Block 141 Gardens,Government,ISC,Private,1959,4.1,Yes,24.99,2871,99,29.0,280849,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,19.65,9.222502,71.410481,https://school56.edu.in,2025-12-31
S00057,Sunrise School,C0664,Ladakh City 664,Ladakh,L08633,Nagar 13 City,Residential,IGCSE,Private,2006,3.8,Yes,15.19,1271,41,31.0,496263,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,14.53,10.387336,78.381919,https://school57.edu.in,2025-12-31
S00058,Modern International School,C0464,Rajasthan City 464,Rajasthan,L06026,Garden 45 Enclave,Private,IB,Trust,1968,4.8,No,38.74,6392,188,34.0,381204,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,6.32,12.419017,74.911127,https://school58.edu.in,2025-12-31
S00059,Cambridge Public School,C0051,Bhopal,Madhya Pradesh,L00661,Enclave 94 City,Residential,ICSE,Government,1959,3.2,Yes,20.8,1850,74,25.0,297995,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,13.59,33.260082,72.919739,https://school59.edu.in,2025-12-31
S00060,Heritage World School,C0081,Coimbatore,Tamil Nadu,L01043,Park 63 Paradise,Government Aided,ICSE,Trust,1980,3.3,No,36.25,2320,80,29.0,116720,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,17.51,36.162788,77.307826,https://school60.edu.in,2025-12-31
S00061,Oxford School,C0646,Gujarat City 646,Gujarat,L08406,Extension 139 City,Boarding,CBSE,Government,1984,3.6,Yes,33.41,2898,161,18.0,63084,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,4.65,27.586217,72.915939,https://school61.edu.in,2025-12-31
S00062,Wisdom Public School,C0898,Telangana City 898,Telangana,L11711,Enclave 76 Gardens,International,CBSE,Private,2010,4.2,Yes,30.59,1818,101,18.0,260948,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,2.61,16.47377,83.123031,https://school62.edu.in,2025-12-31
S00063,Holy Child School,C0803,Lakshadweep City 803,Lakshadweep,L10513,Park 103 Gardens,Private,Cambridge,Private,2018,2.5,Yes,29.02,2268,81,28.0,167710,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,1.06,13.686515,81.083992,https://school63.edu.in,2025-12-31
S00064,Springfield World School,C0586,Ladakh City 586,Ladakh,L07663,Block 57 Gardens,Government,ISC,Government,1994,3.1,Yes,31.09,3094,119,26.0,400449,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,0.93,10.244298,81.214051,https://school64.edu.in,2025-12-31
S00065,Bright Future School,C0152,Puducherry City 152,Puducherry,L01963,Enclave 130 Enclave,Kendriya Vidyalaya,ISC,Trust,2000,5.0,No,10.88,1136,71,16.0,409941,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,6.91,13.719377,71.418556,https://school65.edu.in,2025-12-31
S00066,Cambridge International School,C0606,Gujarat City 606,Gujarat,L07923,Phase 62 Heights,Boarding,Cambridge,Government,2004,2.7,Yes,22.27,2010,67,30.0,183407,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,14.59,12.93754,74.587433,https://school66.edu.in,2025-12-31
S00067,St. Xavier's International School,C0340,Haryana City 340,Haryana,L04413,Nagar 45 Heights,Government,CBSE,Trust,2001,3.4,Yes,38.16,3740,110,34.0,89857,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,7.57,21.449661,68.958341,https://school67.edu.in,2025-12-31
S00068,Modern Senior Secondary School,C0507,Chandigarh City 507,Chandigarh,L06610,Block 44 Gardens,Kendriya Vidyalaya,State Board,Private,1985,3.1,Yes,2.01,3655,215,17.0,112542,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,17.09,14.693194,82.33873,https://school68.edu.in,2025-12-31
S00069,Holy Child School,C0218,Gujarat City 218,Gujarat,L02851,Block 78 Greens,Kendriya Vidyalaya,IGCSE,Private,1958,3.9,No,35.76,2700,135,20.0,461358,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,9.45,16.839257,86.386351,https://school69.edu.in,2025-12-31
S00070,Scholars School,C0582,Nagaland City 582,Nagaland,L07607,Park 118 Residency,Boarding,State Board,Trust,2011,3.8,No,33.11,3059,161,19.0,53666,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,10.46,13.028129,82.915465,https://school70.edu.in,2025-12-31
S00071,Sunrise International School,C0448,Goa City 448,Goa,L05811,Phase 17 Township,Residential,ISC,Trust,1986,4.6,No,8.66,1940,97,20.0,303799,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,18.98,26.814167,70.342789,https://school71.edu.in,2025-12-31
S00072,Springfield World School,C0055,Mumbai,Maharashtra,L00701,Bandra West,Residential,Cambridge,Trust,2003,4.0,Yes,20.42,7161,217,33.0,343814,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,9.79,20.226382,94.723662,https://school72.edu.in,2025-12-31
S00073,Modern International School,C0839,Arunachal City 839,Arunachal Pradesh,L10971,Nagar 106 Paradise,Kendriya Vidyalaya,IGCSE,Private,2001,2.8,No,21.08,1800,72,25.0,70670,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,17.31,31.397296,92.685643,https://school73.edu.in,2025-12-31
S00074,Sunrise International School,C0420,Punjab City 420,Punjab,L05441,Garden 141 Paradise,Kendriya Vidyalaya,ICSE,Government,2013,5.0,No,20.45,2794,127,22.0,176764,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,12.03,21.338431,89.967814,https://school74.edu.in,2025-12-31
S00075,Cambridge International School,C0377,Assam City 377,Assam,L04916,Extension 75 City,Government,Cambridge,Government,2005,2.8,No,29.37,8225,235,35.0,415480,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,16.54,16.521635,77.781746,https://school75.edu.in,2025-12-31
S00076,Green Valley Public School,C0867,Maharashtra City 867,Maharashtra,L11323,Colony 103 Vista,Private,State Board,Private,1993,3.9,No,30.44,6086,179,34.0,119363,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,3.42,18.458314,83.940045,https://school76.edu.in,2025-12-31
S00077,Wisdom Senior Secondary School,C0287,Chhattisgarh City 287,Chhattisgarh,L03742,Sector 122 Vista,Government Aided,IGCSE,Trust,1988,3.7,Yes,15.37,4248,177,24.0,368268,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,16.47,33.76522,72.152239,https://school77.edu.in,2025-12-31
S00078,Green Valley Public School,C0508,Haryana City 508,Haryana,L06618,Enclave 97 City,Government,State Board,Private,2003,2.9,Yes,17.0,1312,82,16.0,421308,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,13.58,14.893792,71.812595,https://school78.edu.in,2025-12-31
S00079,Springfield Senior Secondary School,C0868,Haryana City 868,Haryana,L11330,Sector 14 City,Government Aided,ICSE,Government,1985,3.9,Yes,37.72,8470,242,35.0,171035,No,Yes,No,No,No,No,No,No,Yes,No,No,No,19.1,30.788609,77.060057,https://school79.edu.in,2025-12-31
S00080,Heritage School,C0832,Maharashtra City 832,Maharashtra,L10874,Park 123 Residency,Boarding,IGCSE,Government,1994,4.8,No,30.15,4275,225,19.0,127190,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8.38,24.247433,86.975217,https://school80.edu.in,2025-12-31
S00081,Green Valley World School,C0601,Lakshadweep City 601,Lakshadweep,L07856,Sector 109 Vista,International,CBSE,Trust,1970,3.5,No,19.62,6090,203,30.0,119572,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,15.8,24.600815,95.19991,https://school81.edu.in,2025-12-31
S00082,Ryan International School,C0952,Andaman City 952,Andaman and Nicobar Islands,L12382,Sector 114 Enclave,Boarding,IB,Trust,1963,4.8,No,12.1,1608,67,24.0,351232,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,14.79,15.525314,75.644228,https://school82.edu.in,2025-12-31
S00083,Bright Future Public School,C0523,Rajasthan City 523,Rajasthan,L06821,Sector 129 Gardens,Jawahar Navodaya Vidyalaya,Cambridge,Private,2015,3.3,No,27.1,5328,222,24.0,111878,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,11.73,26.229406,69.208792,https://school83.edu.in,2025-12-31
S00084,Springfield World School,C0279,Himachal City 279,Himachal Pradesh,L03637,Nagar 83 Vista,Kendriya Vidyalaya,IGCSE,Government,1957,4.2,No,12.97,2490,166,15.0,227555,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,14.1,20.754701,80.788276,https://school84.edu.in,2025-12-31
S00085,Bright Future Public School,C0433,Jharkhand City 433,Jharkhand,L05603,Colony 103 Vista,Private,IB,Private,2017,4.3,Yes,36.77,4480,140,32.0,73829,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,9.18,15.775386,69.7494,https://school85.edu.in,2025-12-31
S00086,Holy Child Senior Secondary School,C0339,Telangana City 339,Telangana,L04395,Enclave 109 Greens,Government,IB,Private,1989,4.3,No,10.92,4228,151,28.0,16580,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,3.76,22.687477,89.753015,https://school86.edu.in,2025-12-31
S00087,St. Xavier's International School,C0447,Madhya City 447,Madhya Pradesh,L05802,Layout 80 County,Jawahar Navodaya Vidyalaya,State Board,Private,1998,2.7,Yes,26.49,1890,54,35.0,197331,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,5.1,25.00048,87.793134,https://school87.edu.in,2025-12-31
S00088,Springfield Public School,C0893,Tamil City 893,Tamil Nadu,L11633,Layout 15 Residency,Private,CBSE,Trust,2003,4.0,Yes,10.39,2052,108,19.0,50279,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,10.18,15.225946,92.436102,https://school88.edu.in,2025-12-31
