Locality_ID,City_ID,City_Name,State_Name,Locality_Name,Pincode,Latitude,Longitude,Zone,Distance_to_City_Center_km,Nearest_Metro,Metro_Distance_km,Nearest_Airport,Airport_Distance_km,Nearby_Hospital_Count,Nearby_School_Count,Nearby_College_Count,Nearby_Mall_Count,Nearby_Park_Count,Nearby_Restaurant_Count,Crime_Index,AQI_Index,Traffic_Index,Livability_Score,Infrastructure_Score,Investment_Score,Average_Property_Price_sqft,Average_Rent_sqft,Rental_Yield,Green_Cover_Percent,Water_Availability,Electricity_Reliability,Internet_Speed_Mbps,Flood_Risk,Noise_Level,Luxury_Locality,Smart_City_Area,Upcoming_Metro,Popular_For,Last_Updated
L00022,C0002,Vijayawada,Andhra Pradesh,Layout 121 Township,571866,17.880472,95.999432,East,32.97,No,1.8,Yes,19.23,3,38,20,10,2,43,24,313,58,55,65,57,38373,114,5.64,56.4,Average,Excellent,409,Medium,Medium,No,No,No,Education,2025-12-31
L00023,C0002,Vijayawada,Andhra Pradesh,Park 16 Gardens,886040,10.877774,90.119376,South,9.63,Yes,2.44,Yes,25.74,6,2,13,7,20,125,42,41,49,68,95,68,31555,26,6.12,65.05,Average,Good,137,High,Low,Yes,No,Yes,IT,2025-12-31
L00024,C0002,Vijayawada,Andhra Pradesh,Sector 43 County,733949,29.719774,84.507004,East,15.65,No,10.36,No,42.54,17,36,15,7,3,15,60,190,52,51,55,64,39496,13,8.0,48.7,Good,Excellent,61,Low,Medium,No,No,Yes,Education,2025-12-31
L00025,C0002,Vijayawada,Andhra Pradesh,Garden 126 Greens,602842,18.090871,77.665943,North,30.09,No,6.23,No,14.39,13,37,1,7,3,85,37,190,34,99,75,82,1875,146,4.77,8.52,Good,Excellent,794,Medium,High,No,Yes,Yes,Luxury,2025-12-31
L00026,C0002,Vijayawada,Andhra Pradesh,Nagar 34 County,569399,33.544552,82.056642,North,34.07,Yes,10.68,No,25.69,18,28,2,3,4,123,20,103,83,95,68,82,19719,114,7.01,68.72,Average,Good,584,Low,Medium,Yes,Yes,Yes,Luxury,2025-12-31
L00027,C0002,Vijayawada,Andhra Pradesh,Garden 88 Enclave,390151,31.795935,76.202331,East,29.39,No,12.99,No,25.16,12,23,17,12,18,101,63,189,44,94,65,86,26898,67,7.14,31.7,Good,Excellent,504,High,Medium,No,Yes,No,IT,2025-12-31
L00028,C0002,Vijayawada,Andhra Pradesh,Phase 129 Gardens,458122,33.221309,93.351521,West,3.94,No,0.33,Yes,19.63,21,11,2,7,9,91,84,228,30,71,93,84,26704,89,5.76,62.68,Excellent,Excellent,56,High,Low,Yes,No,Yes,Tourism,2025-12-31
L00029,C0002,Vijayawada,Andhra Pradesh,Block 112 Greens,907306,26.378687,93.304798,West,6.24,No,13.56,Yes,15.95,2,20,11,5,14,42,36,296,72,86,93,61,12940,52,2.47,61.6,Average,Good,954,High,Low,Yes,No,No,Commercial,2025-12-31
L00030,C0002,Vijayawada,Andhra Pradesh,Layout 3 Township,411604,27.650716,72.581293,West,33.11,No,9.62,No,31.68,15,21,6,6,16,32,35,220,93,72,86,68,21148,13,7.87,47.78,Good,Average,599,High,High,Yes,No,No,Residential,2025-12-31
L00031,C0002,Vijayawada,Andhra Pradesh,Park 91 Vista,777543,13.513828,75.268177,South,22.17,Yes,4.7,No,3.43,12,10,2,4,11,111,27,127,36,84,73,83,34685,77,6.98,21.7,Excellent,Good,784,Medium,Low,No,Yes,Yes,Residential,2025-12-31
L00032,C0002,Vijayawada,Andhra Pradesh,Garden 143 Paradise,204690,30.929777,68.403641,Central,4.76,No,10.13,No,27.14,21,25,3,10,8,125,8,342,91,70,89,64,44244,24,5.81,35.18,Good,Excellent,438,Low,Low,Yes,Yes,No,Commercial,2025-12-31
L00033,C0002,Vijayawada,Andhra Pradesh,Block 25 Vista,673659,11.934257,81.155669,Central,14.96,Yes,13.29,Yes,37.85,20,28,8,0,12,60,61,252,50,73,56,93,25873,147,7.41,46.91,Poor,Good,302,Low,Low,No,Yes,Yes,Tourism,2025-12-31
L00034,C0002,Vijayawada,Andhra Pradesh,Park 6 Heights,935014,17.671766,96.675806,Central,7.58,Yes,8.84,Yes,16.13,5,40,0,4,5,38,74,153,42,57,92,51,10437,11,4.15,56.25,Good,Average,198,Medium,Low,Yes,No,Yes,Tourism,2025-12-31
L00035,C0002,Vijayawada,Andhra Pradesh,Block 122 Township,925810,18.49913,85.216315,West,17.88,Yes,10.94,No,21.7,1,5,15,6,14,32,67,252,29,55,70,88,11521,24,2.76,45.58,Good,Good,631,High,Medium,No,No,Yes,Tourism,2025-12-31
L00036,C0002,Vijayawada,Andhra Pradesh,Block 142 Vista,560962,21.095093,74.626314,East,29.05,No,6.3,Yes,15.44,11,18,11,2,16,22,16,68,31,77,56,97,26221,41,5.34,43.12,Good,Excellent,145,Medium,Medium,No,Yes,No,Education,2025-12-31
L00037,C0003,Guntur,Andhra Pradesh,Colony 27 Gardens,642061,14.169425,87.045353,South,29.73,No,12.7,No,6.94,9,38,7,12,14,148,84,339,91,51,88,92,19327,15,3.08,50.68,Good,Good,379,Low,Low,Yes,No,Yes,Residential,2025-12-31
L00038,C0003,Guntur,Andhra Pradesh,Sector 24 Enclave,335584,18.909638,81.155728,South,13.27,No,11.67,Yes,39.98,5,12,19,0,3,74,61,242,82,88,78,76,19702,63,6.53,12.4,Excellent,Average,310,High,High,No,No,Yes,Residential,2025-12-31
L00039,C0003,Guntur,Andhra Pradesh,Garden 15 Heights,324354,16.741161,74.125785,South,26.86,No,4.99,Yes,23.39,14,13,4,6,18,63,69,311,65,54,75,97,4572,119,2.11,64.88,Good,Excellent,459,High,Medium,No,No,Yes,Commercial,2025-12-31
L00040,C0003,Guntur,Andhra Pradesh,Sector 84 Residency,950248,35.480815,81.34281,East,3.54,Yes,3.73,No,24.53,13,21,10,3,11,48,14,286,34,83,82,62,24696,97,6.36,58.23,Average,Average,125,Low,Medium,Yes,Yes,Yes,Tourism,2025-12-31
L00041,C0003,Guntur,Andhra Pradesh,Block 46 Township,596491,29.878929,90.036437,West,24.0,No,12.98,No,8.49,3,32,14,10,10,75,80,53,65,82,54,69,32060,123,2.23,28.97,Good,Average,680,Low,High,No,No,Yes,Commercial,2025-12-31
L00042,C0003,Guntur,Andhra Pradesh,Park 49 Paradise,744395,21.793242,72.374971,North,16.04,No,14.74,Yes,23.7,6,4,7,11,15,117,72,292,40,73,73,68,27189,112,6.65,49.13,Poor,Excellent,682,Medium,Low,No,Yes,No,Luxury,2025-12-31
L00043,C0003,Guntur,Andhra Pradesh,Layout 39 Paradise,195462,24.899446,72.101423,East,11.2,No,2.02,Yes,15.31,13,23,4,10,17,28,87,241,85,73,51,73,22041,54,7.71,27.21,Excellent,Average,251,Low,Low,Yes,No,Yes,Education,2025-12-31
L00044,C0003,Guntur,Andhra Pradesh,Nagar 135 Heights,804084,17.766167,90.222921,South,21.11,Yes,2.52,Yes,33.01,2,28,11,10,8,118,83,170,77,64,84,65,22081,128,7.42,17.61,Excellent,Good,807,Medium,Medium,No,Yes,Yes,Education,2025-12-31
L00045,C0003,Guntur,Andhra Pradesh,Phase 65 Heights,782325,21.937129,78.765151,North,25.04,Yes,4.35,Yes,13.73,17,11,13,1,8,120,49,38,73,53,75,82,26307,68,4.32,10.3,Average,Average,346,Low,High,No,Yes,Yes,IT,2025-12-31
L00046,C0003,Guntur,Andhra Pradesh,Layout 121 Residency,905703,28.460549,81.009443,North,31.75,Yes,3.91,Yes,25.6,24,40,16,6,4,78,35,179,35,53,65,76,43674,125,2.38,59.38,Excellent,Excellent,568,Low,High,Yes,Yes,No,Commercial,2025-12-31
L00047,C0003,Guntur,Andhra Pradesh,Sector 91 Vista,708385,20.08046,87.266768,North,18.56,No,1.11,Yes,18.79,16,4,20,6,12,69,7,207,28,72,65,96,44863,34,6.63,52.79,Good,Average,65,Medium,High,No,Yes,No,Tourism,2025-12-31
L00048,C0003,Guntur,Andhra Pradesh,Enclave 47 Residency,176166,28.765307,95.364549,North,10.62,Yes,11.89,Yes,15.57,10,34,12,8,16,69,9,122,56,72,99,53,44774,92,3.64,56.96,Excellent,Good,781,Medium,Medium,No,Yes,No,Tourism,2025-12-31
L00049,C0004,Tirupati,Andhra Pradesh,Colony 133 County,950065,10.395734,80.31049,West,21.28,Yes,8.23,No,6.41,11,20,9,7,20,114,26,252,64,78,52,96,24905,119,3.65,68.7,Poor,Average,707,High,Medium,No,Yes,Yes,Residential,2025-12-31
L00050,C0004,Tirupati,Andhra Pradesh,Park 113 Heights,242362,9.949768,90.576946,East,12.99,Yes,9.12,No,42.8,12,30,2,9,5,140,51,228,60,91,67,65,9234,14,6.41,37.44,Excellent,Excellent,140,Medium,Medium,No,Yes,No,Tourism,2025-12-31
L00051,C0004,Tirupati,Andhra Pradesh,Enclave 52 Greens,252322,32.731962,81.109238,West,34.91,No,10.05,Yes,25.65,10,21,5,11,6,97,70,139,35,62,58,65,34176,14,4.17,42.2,Excellent,Excellent,152,High,Low,Yes,No,No,Tourism,2025-12-31
L00052,C0004,Tirupati,Andhra Pradesh,Enclave 135 City,916528,19.873572,84.672115,South,34.05,Yes,6.8,No,7.52,25,37,20,9,6,38,60,282,27,57,83,59,21731,50,2.97,65.76,Average,Good,990,High,Medium,Yes,No,Yes,Tourism,2025-12-31
L00053,C0004,Tirupati,Andhra Pradesh,Nagar 71 Residency,765384,16.781914,83.470863,Central,22.61,Yes,2.65,No,38.23,19,4,0,1,2,72,88,132,93,76,89,90,3784,135,7.33,40.46,Good,Good,270,High,Medium,No,No,Yes,Tourism,2025-12-31
L00054,C0004,Tirupati,Andhra Pradesh,Sector 41 Township,545811,22.043283,73.916667,Central,5.46,No,11.04,No,43.94,5,25,16,8,4,86,35,263,35,67,78,65,11032,32,2.3,66.45,Excellent,Average,906,Low,Medium,No,Yes,Yes,Commercial,2025-12-31
L00055,C0004,Tirupati,Andhra Pradesh,Nagar 120 Township,433529,22.423738,70.611424,West,17.94,Yes,3.31,No,4.09,10,33,19,10,16,78,73,29,33,77,58,66,25771,111,4.2,31.04,Average,Good,586,Medium,Low,No,No,No,Education,2025-12-31
L00056,C0004,Tirupati,Andhra Pradesh,Park 31 Residency,211378,19.423208,91.05202,East,19.75,No,11.35,Yes,27.91,13,34,1,0,2,40,47,267,86,79,59,88,35584,43,3.97,44.85,Average,Good,651,High,Medium,No,No,No,Commercial,2025-12-31
L00057,C0004,Tirupati,Andhra Pradesh,Sector 95 Paradise,816538,11.178533,80.079668,East,27.99,Yes,8.99,No,43.58,25,39,18,3,2,127,26,293,68,59,93,65,3869,36,3.14,33.67,Excellent,Average,442,High,Low,No,No,Yes,Tourism,2025-12-31
L00058,C0004,Tirupati,Andhra Pradesh,Phase 133 Vista,698133,17.426436,87.204577,Central,13.5,Yes,6.95,No,25.49,22,18,19,7,7,68,40,310,58,64,69,99,20740,61,6.14,36.79,Excellent,Good,593,High,Medium,No,Yes,No,Commercial,2025-12-31
L00059,C0004,Tirupati,Andhra Pradesh,Colony 38 County,154110,16.34128,88.710097,East,32.38,No,11.24,Yes,10.69,18,19,17,11,9,40,18,340,95,65,65,53,36602,65,5.83,8.41,Excellent,Good,754,Medium,Low,Yes,Yes,Yes,Commercial,2025-12-31
L00060,C0004,Tirupati,Andhra Pradesh,Enclave 123 Vista,902631,35.953507,77.313863,North,31.82,Yes,9.82,Yes,25.01,24,4,5,6,6,14,55,278,43,97,68,52,2407,84,5.41,11.97,Good,Good,485,High,High,No,Yes,No,Luxury,2025-12-31
L00061,C0004,Tirupati,Andhra Pradesh,Extension 29 Paradise,280388,29.202458,86.800275,South,0.99,No,11.88,Yes,9.55,21,27,13,8,11,27,56,73,43,58,80,70,18056,9,3.56,20.31,Good,Good,329,High,High,Yes,No,No,Tourism,2025-12-31
L00062,C0004,Tirupati,Andhra Pradesh,Extension 16 Greens,598003,16.897384,79.757082,Central,32.35,No,10.39,No,17.8,8,16,4,7,5,121,82,216,73,94,85,80,37026,63,6.57,49.22,Poor,Excellent,477,High,High,No,Yes,Yes,IT,2025-12-31
L00063,C0004,Tirupati,Andhra Pradesh,Nagar 130 Vista,710522,23.563145,72.771578,Central,15.74,Yes,10.78,No,5.91,17,30,1,7,5,136,58,258,92,53,85,79,21996,13,4.38,58.07,Average,Excellent,94,Low,Medium,No,Yes,Yes,IT,2025-12-31
L00064,C0005,Kakinada,Andhra Pradesh,Sector 74 City,298725,30.30019,90.209003,West,13.42,No,6.78,No,18.15,22,36,4,10,12,35,27,300,70,83,58,96,16394,8,6.54,68.6,Excellent,Excellent,756,High,Medium,No,Yes,Yes,Commercial,2025-12-31
L00065,C0005,Kakinada,Andhra Pradesh,Colony 40 County,307637,35.1849,89.025694,North,1.61,No,9.26,Yes,12.35,3,8,19,0,15,17,36,47,71,78,64,84,16038,22,2.84,69.58,Average,Excellent,609,Medium,High,No,Yes,No,Residential,2025-12-31
L00066,C0005,Kakinada,Andhra Pradesh,Nagar 57 City,425099,15.979464,84.144825,Central,30.85,Yes,9.43,No,25.9,2,24,20,10,13,139,45,238,72,59,69,74,13850,145,4.84,60.21,Good,Excellent,167,Medium,Low,No,No,Yes,Commercial,2025-12-31
L00067,C0005,Kakinada,Andhra Pradesh,Extension 66 Vista,456306,26.75447,94.744557,East,3.69,Yes,0.87,No,30.97,20,4,2,3,19,148,32,270,46,71,69,50,15681,56,7.77,12.63,Excellent,Average,732,High,High,Yes,No,Yes,Education,2025-12-31
L00068,C0005,Kakinada,Andhra Pradesh,Colony 73 City,598900,23.475854,78.418527,East,12.91,No,7.04,No,34.75,11,15,11,5,14,16,77,138,38,51,66,85,40075,114,3.77,17.75,Average,Good,603,Low,Medium,No,No,No,Tourism,2025-12-31
L00069,C0005,Kakinada,Andhra Pradesh,Enclave 118 Residency,878368,31.05429,72.908706,Central,17.35,Yes,7.91,Yes,42.64,22,5,0,6,5,64,13,102,21,63,82,79,26258,23,5.71,48.34,Excellent,Excellent,519,Low,Low,No,Yes,Yes,Education,2025-12-31
L00070,C0005,Kakinada,Andhra Pradesh,Layout 138 County,127976,22.564265,88.237913,West,28.31,Yes,1.69,Yes,24.55,8,14,19,8,9,95,39,228,30,73,75,79,38827,70,7.94,19.68,Poor,Excellent,898,High,Low,Yes,No,No,Commercial,2025-12-31
L00071,C0005,Kakinada,Andhra Pradesh,Nagar 122 Heights,777679,8.274055,72.970124,West,29.66,No,8.53,Yes,40.48,2,16,6,11,19,126,39,48,29,93,67,84,38730,16,3.08,60.28,Poor,Average,621,Low,High,No,Yes,No,Residential,2025-12-31
L00072,C0005,Kakinada,Andhra Pradesh,Park 62 Gardens,985195,32.63383,87.634014,Central,11.94,Yes,11.88,Yes,23.53,12,5,3,6,8,24,48,334,70,99,70,51,43357,77,6.7,34.29,Average,Good,586,Medium,Medium,Yes,No,Yes,Education,2025-12-31
L00073,C0005,Kakinada,Andhra Pradesh,Layout 64 Greens,196024,15.771189,79.02,South,26.02,No,5.47,Yes,2.22,10,30,11,12,9,31,21,69,43,77,78,85,38155,139,4.45,6.71,Good,Excellent,115,High,High,No,No,Yes,Luxury,2025-12-31
L00074,C0005,Kakinada,Andhra Pradesh,Garden 100 Greens,870054,34.132945,94.25102,South,20.23,Yes,10.31,Yes,7.97,10,19,15,2,3,47,60,166,73,69,80,54,25466,72,7.67,51.86,Excellent,Excellent,651,Low,Medium,Yes,Yes,No,IT,2025-12-31
L00075,C0005,Kakinada,Andhra Pradesh,Garden 86 Gardens,508344,31.318217,77.55671,East,15.36,Yes,4.58,Yes,22.6,6,27,10,4,16,67,46,217,55,75,73,57,38752,59,5.55,40.47,Poor,Excellent,492,High,Low,No,No,Yes,Commercial,2025-12-31
L00076,C0005,Kakinada,Andhra Pradesh,Enclave 36 County,363778,15.327769,72.470154,West,27.72,Yes,6.79,No,27.04,18,34,13,8,2,97,73,329,30,56,99,65,44896,98,3.0,44.82,Excellent,Good,835,Medium,Low,Yes,Yes,No,Residential,2025-12-31
L00077,C0005,Kakinada,Andhra Pradesh,Nagar 133 Enclave,718718,27.942268,74.40992,East,13.99,Yes,5.24,Yes,22.76,10,28,2,1,5,94,44,200,78,63,83,80,24626,129,2.59,51.93,Excellent,Good,88,Medium,Low,Yes,Yes,No,Tourism,2025-12-31
L00078,C0005,Kakinada,Andhra Pradesh,Block 43 Vista,651059,13.059144,72.643936,Central,15.21,No,3.55,No,29.08,6,29,12,0,20,55,62,328,74,74,50,95,15876,60,3.67,50.74,Poor,Excellent,124,High,Low,No,No,Yes,Commercial,2025-12-31
L00079,C0006,Itanagar,Arunachal Pradesh,Layout 126 Enclave,780154,17.088719,79.270539,West,20.75,No,5.34,No,28.55,22,21,19,9,3,39,45,85,50,69,57,61,26264,44,5.06,32.19,Average,Excellent,412,Medium,Low,No,Yes,Yes,Commercial,2025-12-31
L00080,C0006,Itanagar,Arunachal Pradesh,Layout 36 Residency,439862,32.417571,85.962889,East,33.34,No,2.13,No,43.44,17,33,13,10,16,111,61,275,41,55,86,51,16252,82,2.2,19.61,Good,Average,819,Medium,High,No,Yes,Yes,Luxury,2025-12-31
L00081,C0006,Itanagar,Arunachal Pradesh,Nagar 94 Enclave,972571,29.946801,90.04012,West,19.35,No,1.63,Yes,14.8,2,30,8,5,3,117,20,146,46,97,87,94,24778,117,3.0,14.05,Average,Average,844,Low,High,No,No,Yes,Luxury,2025-12-31
L00082,C0006,Itanagar,Arunachal Pradesh,Layout 75 Gardens,390330,35.619523,82.918035,North,5.18,No,13.79,No,39.28,5,10,7,2,11,68,55,275,38,86,90,67,42944,114,4.25,9.91,Poor,Good,547,High,Medium,No,No,No,Luxury,2025-12-31
L00083,C0006,Itanagar,Arunachal Pradesh,Park 1 Greens,876438,36.192358,86.410376,East,29.83,No,3.35,No,37.47,16,19,10,4,11,145,78,91,92,81,71,93,4972,19,2.6,55.95,Excellent,Average,147,Low,Medium,No,Yes,No,Residential,2025-12-31
L00084,C0006,Itanagar,Arunachal Pradesh,Phase 78 Residency,397331,10.70686,78.452626,North,13.33,Yes,0.87,No,33.22,25,16,13,10,3,29,5,134,81,54,58,87,16623,140,6.08,5.6,Good,Average,900,Medium,High,Yes,No,Yes,Residential,2025-12-31
L00085,C0006,Itanagar,Arunachal Pradesh,Garden 23 Greens,218215,17.087193,93.548681,South,13.7,Yes,9.66,Yes,4.94,19,2,19,10,6,117,49,134,39,76,89,93,30792,63,2.52,11.53,Poor,Excellent,767,Medium,Medium,No,No,Yes,Residential,2025-12-31
L00086,C0006,Itanagar,Arunachal Pradesh,Layout 22 Vista,690279,25.428973,88.91421,East,27.37,Yes,12.73,No,10.83,20,34,6,11,13,80,87,52,50,81,74,57,17599,135,5.83,9.62,Poor,Good,976,Medium,Low,No,No,No,Education,2025-12-31
L00087,C0006,Itanagar,Arunachal Pradesh,Phase 121 Greens,127501,25.033541,68.400009,South,1.87,Yes,14.24,No,23.78,21,34,13,6,13,26,86,299,88,89,59,67,7278,87,2.47,64.86,Average,Excellent,354,Medium,High,Yes,No,No,Tourism,2025-12-31
L00088,C0007,Naharlagun,Arunachal Pradesh,Sector 63 Greens,565590,11.363611,85.756607,North,11.17,Yes,1.88,Yes,32.16,6,33,11,8,17,71,26,215,36,97,99,67,9536,15,4.01,32.91,Poor,Good,749,High,High,Yes,No,No,Education,2025-12-31
L00089,C0007,Naharlagun,Arunachal Pradesh,Colony 15 Township,704424,12.83956,72.561989,North,31.35,Yes,3.5,Yes,3.89,1,17,1,7,12,103,24,116,24,85,95,97,44772,115,3.35,21.14,Good,Good,865,Low,High,No,Yes,Yes,Residential,2025-12-31
L00090,C0007,Naharlagun,Arunachal Pradesh,Extension 133 Heights,530401,9.998867,81.487731,East,27.19,No,4.98,No,2.34,7,20,18,12,10,67,64,213,95,81,99,99,14607,147,6.56,20.93,Poor,Good,44,Low,High,No,Yes,No,IT,2025-12-31
L00091,C0007,Naharlagun,Arunachal Pradesh,Garden 79 Greens,325162,23.36462,74.90686,West,33.66,Yes,10.7,Yes,3.89,8,35,13,11,12,122,15,322,32,82,58,90,27644,27,5.55,9.05,Average,Average,318,Medium,Medium,No,No,No,Commercial,2025-12-31
L00092,C0007,Naharlagun,Arunachal Pradesh,Layout 60 Greens,322560,11.947244,90.334252,North,5.86,Yes,6.8,No,19.48,18,24,6,7,10,123,38,86,31,60,93,69,41338,18,3.29,60.68,Average,Average,748,Low,Medium,No,Yes,No,Luxury,2025-12-31
L00093,C0007,Naharlagun,Arunachal Pradesh,Phase 8 City,584168,24.122659,83.953506,North,16.44,Yes,1.91,Yes,37.71,8,10,6,6,12,26,79,325,53,54,51,54,14759,121,6.86,10.98,Good,Average,63,Medium,Low,Yes,No,No,Commercial,2025-12-31
L00094,C0007,Naharlagun,Arunachal Pradesh,Sector 98 City,291202,18.264354,94.340822,East,10.15,Yes,0.62,Yes,29.83,16,28,17,7,2,27,40,221,37,76,62,91,36259,71,5.78,57.14,Poor,Good,820,High,Medium,No,No,No,Education,2025-12-31
