Metro_ID,Station_Name,Metro_Line,State_Name,City_Name,Locality_Name,Latitude,Longitude,Platform_Count,Interchange,Parking,Lift,Escalator,Disabled_Access,Daily_Footfall,Opening_Year,Operator,Nearby_Bus_Stop,Nearby_Railway_Station_km,Nearby_Airport_km,Nearby_Mall_km,Nearby_Hospital_km,Nearby_School_km,Nearby_IT_Park_km,Property_Price_Impact,Smart_City_Area,Zone
MET000013,Sector 25,Pink Line,Tamil Nadu,Chennai,Sector 62,29.761234,82.775038,3,Yes,No,Yes,Yes,Yes,115951,2024,CMRL,Yes,7.98,12.32,1.75,3.22,2.85,12.46,High,No,West
MET000014,Market 32,Red Line,Telangana,Hyderabad,Sector 57,19.793801,75.950871,2,Yes,Yes,Yes,Yes,No,60696,2002,HMRL,Yes,2.85,29.61,0.71,2.63,4.17,9.77,High,No,North
MET000015,Lake 72,Orange Line,Tamil Nadu,Chennai,Sector 70,12.848687,83.843626,3,Yes,No,Yes,Yes,Yes,77043,2013,CMRL,Yes,8.83,31.14,5.32,3.18,1.58,14.83,Medium,Yes,Central
MET000016,Park 20,Pink Line,Karnataka,Bengaluru,Sector 58,18.750215,78.021063,2,Yes,No,Yes,Yes,Yes,98502,2018,BMRCL,Yes,0.34,11.6,3.27,1.41,4.34,10.16,Medium,No,Central
MET000017,City 77,Red Line,Karnataka,Bengaluru,Sector 72,16.43965,86.032929,6,Yes,Yes,Yes,Yes,No,115650,2019,BMRCL,Yes,1.85,25.54,2.26,4.45,0.49,7.41,Low,No,North
MET000018,Market 99,Pink Line,Tamil Nadu,Chennai,Sector 75,13.363023,73.481559,2,No,No,Yes,Yes,Yes,135181,2016,CMRL,Yes,3.37,12.6,6.55,4.32,4.77,4.53,High,No,West
MET000019,Central 90,Orange Line,Maharashtra,Mumbai,Sector 9,22.08725,80.243358,5,No,No,Yes,Yes,Yes,38962,2002,MMRC,Yes,0.95,10.94,0.49,3.25,0.35,1.31,High,Yes,East
MET000020,City 66,Green Line,Telangana,Hyderabad,Sector 46,22.286216,81.458757,2,Yes,Yes,Yes,Yes,No,163301,2005,HMRL,Yes,6.09,39.53,0.61,0.8,2.15,14.89,High,Yes,North
MET000021,Market 86,Purple Line,Telangana,Hyderabad,Sector 61,23.257836,79.064699,3,No,No,Yes,Yes,Yes,76188,2003,HMRL,Yes,6.44,18.22,0.69,0.22,1.78,10.31,Low,No,Central
MET000022,City 12,Blue Line,Maharashtra,Mumbai,Sector 38,20.719395,77.612362,5,Yes,No,Yes,Yes,No,243547,2007,MMRC,Yes,8.7,12.39,0.48,4.22,3.94,11.86,Medium,Yes,East
MET000023,Central 69,Green Line,Karnataka,Bengaluru,Sector 68,22.004858,83.101067,6,No,Yes,Yes,Yes,Yes,151287,2012,BMRCL,Yes,6.01,30.63,7.7,4.13,4.08,15.45,High,No,Central
MET000024,City 19,Pink Line,Telangana,Hyderabad,Sector 65,17.092991,80.695812,3,No,Yes,Yes,Yes,No,10018,2005,HMRL,Yes,3.48,32.0,2.09,3.41,4.63,3.67,Medium,Yes,West
MET000025,City 15,Orange Line,Karnataka,Bengaluru,Sector 31,23.544358,82.980664,4,No,Yes,Yes,Yes,Yes,98347,2025,BMRCL,Yes,5.17,24.3,0.17,1.58,0.57,4.17,Low,No,South
MET000026,Market 82,Yellow Line,Telangana,Hyderabad,Sector 48,19.986551,74.786474,3,Yes,Yes,Yes,Yes,No,135963,2022,HMRL,Yes,2.34,21.72,3.1,1.99,4.34,12.27,High,Yes,South
MET000027,Market 76,Orange Line,Delhi,New Delhi,Sector 28,22.014389,83.368084,6,Yes,No,Yes,Yes,Yes,104657,2004,DMRC,Yes,8.41,11.26,1.83,2.99,3.92,15.22,Low,No,South
MET000028,Market 29,Orange Line,Telangana,Hyderabad,Sector 33,13.701969,83.587121,5,Yes,Yes,Yes,Yes,Yes,245361,2022,HMRL,Yes,6.17,22.47,4.34,2.39,4.41,11.83,High,Yes,Central
MET000029,Market 94,Green Line,Karnataka,Bengaluru,Sector 24,8.754516,76.381332,5,Yes,Yes,Yes,Yes,No,27228,2002,BMRCL,Yes,2.33,15.23,0.85,2.38,4.46,14.99,Low,Yes,Central
MET000030,Central 35,Green Line,Tamil Nadu,Chennai,Sector 16,29.569187,75.673451,3,Yes,No,Yes,Yes,No,16483,2013,CMRL,Yes,2.97,15.0,1.55,2.45,3.72,4.55,Medium,No,North
MET000031,Park 64,Orange Line,Maharashtra,Mumbai,Sector 51,29.192456,75.717065,2,Yes,No,Yes,Yes,Yes,217335,2016,MMRC,Yes,3.15,27.86,0.19,1.51,4.9,18.17,Medium,No,North
MET000032,Lake 75,Pink Line,Karnataka,Bengaluru,Sector 4,8.170932,82.991325,5,No,No,Yes,Yes,Yes,102277,2025,BMRCL,Yes,6.3,17.11,7.91,2.28,0.38,11.71,Low,No,South
MET000033,Sector 19,Yellow Line,Tamil Nadu,Chennai,Sector 77,14.715574,80.102037,2,No,Yes,Yes,Yes,No,193349,2025,CMRL,Yes,1.05,21.22,6.49,3.03,4.58,13.82,Medium,No,North
MET000034,Market 25,Yellow Line,Karnataka,Bengaluru,Sector 59,21.390458,74.582988,2,No,Yes,Yes,Yes,No,113652,2016,BMRCL,Yes,8.0,16.86,2.41,0.21,4.5,7.23,High,Yes,Central
MET000035,City 67,Purple Line,Tamil Nadu,Chennai,Sector 36,11.3511,78.932313,2,Yes,No,Yes,Yes,Yes,7876,2012,CMRL,Yes,2.13,8.12,6.73,4.7,1.85,10.85,Low,No,Central
MET000036,Sector 14,Yellow Line,Karnataka,Bengaluru,Sector 73,28.588997,77.706896,5,Yes,No,Yes,Yes,Yes,105939,2016,BMRCL,Yes,2.45,27.42,5.38,0.97,4.05,10.57,Medium,No,West
MET000037,Park 50,Yellow Line,Tamil Nadu,Chennai,Sector 43,10.930821,87.912561,4,Yes,No,Yes,Yes,Yes,136579,2017,CMRL,Yes,1.13,38.64,7.98,0.79,2.8,16.49,Medium,Yes,Central
MET000038,Sector 20,Yellow Line,Delhi,New Delhi,Sector 7,16.472973,79.72235,4,No,No,Yes,Yes,Yes,142681,2025,DMRC,Yes,4.27,12.4,1.35,3.99,2.43,8.35,High,Yes,East
MET000039,Sector 74,Red Line,Karnataka,Bengaluru,Sector 16,20.116087,87.798659,4,No,No,Yes,Yes,Yes,43039,2018,BMRCL,Yes,1.46,36.87,3.03,3.32,3.85,7.81,Medium,Yes,East
MET000040,City 15,Orange Line,Karnataka,Bengaluru,Sector 50,9.147344,85.037777,5,No,No,Yes,Yes,No,76704,2013,BMRCL,Yes,0.22,23.38,0.83,2.23,4.85,12.56,Medium,No,Central
MET000041,Central 64,Blue Line,Tamil Nadu,Chennai,Sector 71,20.615806,78.541603,6,Yes,Yes,Yes,Yes,No,101482,2004,CMRL,Yes,9.71,24.9,4.04,3.77,4.46,11.31,High,Yes,Central
MET000042,Lake 98,Green Line,Tamil Nadu,Chennai,Sector 4,28.062217,84.057434,4,No,No,Yes,Yes,No,157646,2017,CMRL,Yes,4.75,29.91,0.2,4.87,1.14,17.2,Low,Yes,East
MET000043,Sector 15,Red Line,Maharashtra,Mumbai,Sector 30,22.094061,81.969548,3,No,Yes,Yes,Yes,Yes,142515,2010,MMRC,Yes,2.15,18.43,0.94,4.98,1.72,3.92,High,Yes,Central
MET000044,Market 87,Pink Line,Maharashtra,Mumbai,Sector 59,20.396658,78.656186,4,Yes,Yes,Yes,Yes,Yes,235999,2004,MMRC,Yes,3.36,34.17,4.25,4.54,4.9,5.23,Medium,Yes,South
MET000045,City 81,Orange Line,Maharashtra,Mumbai,Sector 65,23.903867,87.933134,2,Yes,No,Yes,Yes,Yes,60540,2003,MMRC,Yes,9.1,32.98,5.16,4.08,0.93,8.93,High,Yes,West
MET000046,Park 12,Green Line,Delhi,New Delhi,Sector 48,17.948964,76.301333,4,No,Yes,Yes,Yes,Yes,176591,2011,DMRC,Yes,5.89,29.38,3.22,3.26,0.64,19.78,Medium,Yes,South
MET000047,Market 88,Purple Line,Delhi,New Delhi,Sector 37,13.844859,77.448865,5,Yes,Yes,Yes,Yes,No,248785,2008,DMRC,Yes,4.91,12.42,5.05,1.68,2.61,15.95,High,Yes,North
MET000048,Park 23,Yellow Line,Karnataka,Bengaluru,Sector 60,8.160948,87.458697,5,No,No,Yes,Yes,Yes,110519,2015,BMRCL,Yes,3.81,32.93,6.42,4.56,4.17,14.9,Medium,Yes,East
MET000049,Market 69,Green Line,Tamil Nadu,Chennai,Sector 40,24.206738,84.095865,3,Yes,No,Yes,Yes,No,245560,2005,CMRL,Yes,9.49,12.99,5.52,4.4,3.28,12.15,Medium,No,West
MET000050,Market 58,Orange Line,Telangana,Hyderabad,Sector 16,27.289998,86.940041,4,No,Yes,Yes,Yes,No,137040,2003,HMRL,Yes,1.95,19.26,0.58,1.7,2.34,2.26,High,No,North
MET000051,Sector 81,Blue Line,Maharashtra,Mumbai,Sector 67,27.248685,76.414504,6,No,Yes,Yes,Yes,No,235862,2006,MMRC,Yes,5.73,23.19,2.98,0.11,1.81,16.12,Medium,Yes,West
MET000052,Park 42,Red Line,Maharashtra,Mumbai,Sector 62,21.743757,81.682354,2,No,Yes,Yes,Yes,Yes,89344,2003,MMRC,Yes,0.28,7.68,3.8,4.11,3.68,12.93,Medium,Yes,Central
MET000053,City 95,Orange Line,Telangana,Hyderabad,Sector 57,19.636939,77.866339,5,No,Yes,Yes,Yes,Yes,192740,2016,HMRL,Yes,4.08,6.82,5.32,3.39,1.97,5.97,Medium,No,Central
MET000054,City 22,Green Line,Tamil Nadu,Chennai,Sector 23,9.755572,76.929357,4,No,No,Yes,Yes,Yes,69152,2022,CMRL,Yes,0.86,7.32,1.22,2.61,2.96,6.16,Medium,Yes,Central
MET000055,Park 75,Red Line,Telangana,Hyderabad,Sector 75,27.083446,75.77425,4,No,Yes,Yes,Yes,Yes,138773,2005,HMRL,Yes,8.31,15.3,2.67,0.62,4.22,7.28,High,Yes,North
MET000056,Central 21,Blue Line,Maharashtra,Mumbai,Sector 7,14.321818,81.540423,2,Yes,Yes,Yes,Yes,No,220301,2015,MMRC,Yes,4.42,32.37,7.98,1.01,1.89,9.11,High,Yes,Central
MET000057,Park 58,Blue Line,Delhi,New Delhi,Sector 75,26.681628,76.614866,5,No,No,Yes,Yes,Yes,219305,2013,DMRC,Yes,0.82,20.38,5.51,0.96,4.09,10.01,High,No,West
MET000058,Market 72,Yellow Line,Telangana,Hyderabad,Sector 38,27.670533,77.081439,4,No,Yes,Yes,Yes,Yes,101718,2003,HMRL,Yes,3.82,18.08,1.8,3.92,1.12,4.81,High,Yes,North
MET000059,Sector 88,Pink Line,Tamil Nadu,Chennai,Sector 6,11.974415,86.222924,2,Yes,Yes,Yes,Yes,No,21055,2019,CMRL,Yes,8.25,9.68,7.92,3.14,3.99,16.34,Medium,No,West
MET000060,Central 70,Red Line,Karnataka,Bengaluru,Sector 73,13.931344,75.306654,2,No,Yes,Yes,Yes,No,117330,2010,BMRCL,Yes,9.32,30.15,5.67,3.41,4.1,15.27,High,Yes,South
MET000061,Central 2,Red Line,Delhi,New Delhi,Sector 36,10.644575,75.226174,3,No,Yes,Yes,Yes,No,224383,2016,DMRC,Yes,9.32,33.1,4.4,4.94,2.26,13.25,Low,No,South
MET000062,Lake 8,Yellow Line,Delhi,New Delhi,Sector 38,23.424396,77.352835,5,Yes,Yes,Yes,Yes,No,231974,2023,DMRC,Yes,9.06,7.93,1.55,1.25,3.49,15.58,Low,No,North
MET000063,City 19,Blue Line,Karnataka,Bengaluru,Sector 61,14.143588,82.347212,3,Yes,No,Yes,Yes,Yes,56415,2015,BMRCL,Yes,7.24,37.88,6.85,4.02,1.87,19.52,High,Yes,North
MET000064,Central 20,Red Line,Karnataka,Bengaluru,Sector 80,25.713795,81.970153,3,No,No,Yes,Yes,No,31899,2021,BMRCL,Yes,2.23,33.34,0.66,2.31,0.89,16.52,Low,No,North
MET000065,City 2,Blue Line,Karnataka,Bengaluru,Sector 21,12.535467,72.963098,3,No,No,Yes,Yes,No,140623,2004,BMRCL,Yes,3.34,34.95,4.47,3.81,2.97,5.91,Low,Yes,South
MET000066,Lake 65,Orange Line,Maharashtra,Mumbai,Sector 23,14.762174,72.618473,5,Yes,No,Yes,Yes,No,5067,2017,MMRC,Yes,9.58,21.77,1.68,2.91,1.33,8.36,Low,Yes,East
MET000067,Lake 71,Green Line,Tamil Nadu,Chennai,Sector 57,10.241939,84.274301,5,No,Yes,Yes,Yes,No,244650,2010,CMRL,Yes,0.2,23.37,3.71,3.59,0.96,9.06,High,No,South
MET000068,Market 88,Blue Line,Telangana,Hyderabad,Sector 35,14.070771,83.453233,6,No,No,Yes,Yes,No,118548,2003,HMRL,Yes,0.93,10.23,4.45,2.31,4.28,16.99,Low,Yes,South
MET000069,Lake 90,Yellow Line,Delhi,New Delhi,Sector 18,28.459275,74.374974,3,No,No,Yes,Yes,No,225777,2015,DMRC,Yes,2.88,12.5,5.15,0.74,3.85,12.27,High,No,East
MET000070,Park 18,Purple Line,Maharashtra,Mumbai,Sector 47,20.550504,85.241031,6,Yes,Yes,Yes,Yes,Yes,235702,2018,MMRC,Yes,5.16,19.59,7.73,2.08,2.46,2.01,Low,No,East
MET000071,Sector 39,Yellow Line,Delhi,New Delhi,Sector 25,25.942551,84.562252,2,No,Yes,Yes,Yes,No,83602,2017,DMRC,Yes,6.42,27.54,4.41,3.99,1.26,5.82,Low,Yes,North
MET000072,Lake 28,Green Line,Delhi,New Delhi,Sector 56,11.479125,74.159764,2,No,No,Yes,Yes,Yes,37083,2024,DMRC,Yes,8.76,25.14,7.6,3.46,4.55,5.37,High,Yes,South
MET000073,Market 36,Blue Line,Delhi,New Delhi,Sector 41,22.782871,75.755884,2,Yes,No,Yes,Yes,No,56357,2025,DMRC,Yes,2.5,26.6,7.14,3.11,3.46,7.8,Low,No,South
MET000074,Central 18,Green Line,Maharashtra,Mumbai,Sector 66,8.72776,74.119455,3,No,No,Yes,Yes,No,159539,2002,MMRC,Yes,8.8,14.55,7.14,2.47,2.91,4.01,Low,Yes,Central
MET000075,Sector 31,Purple Line,Maharashtra,Mumbai,Sector 6,12.417726,83.548191,6,No,No,Yes,Yes,Yes,234922,2025,MMRC,Yes,6.03,10.63,6.01,0.81,2.47,10.46,High,No,North
MET000076,Central 34,Red Line,Karnataka,Bengaluru,Sector 35,18.160858,86.287914,3,Yes,Yes,Yes,Yes,No,13889,2003,BMRCL,Yes,9.74,7.25,1.4,2.59,0.62,17.95,Medium,Yes,South
MET000077,Market 49,Red Line,Delhi,New Delhi,Sector 33,29.112262,84.192414,6,Yes,Yes,Yes,Yes,Yes,150899,2019,DMRC,Yes,4.37,32.33,6.02,0.62,4.79,11.38,Low,No,East
MET000078,Lake 39,Purple Line,Maharashtra,Mumbai,Sector 31,9.563614,73.778121,4,No,Yes,Yes,Yes,Yes,198147,2006,MMRC,Yes,3.81,23.72,5.71,3.42,4.14,14.39,High,Yes,East
MET000079,Park 91,Red Line,Maharashtra,Mumbai,Sector 19,15.777948,81.410166,2,Yes,No,Yes,Yes,No,184464,2011,MMRC,Yes,9.47,7.09,7.61,1.78,3.3,14.17,High,No,Central
MET000080,Market 6,Yellow Line,Telangana,Hyderabad,Sector 37,26.979701,77.65879,2,Yes,No,Yes,Yes,No,149947,2024,HMRL,Yes,9.45,27.93,3.05,2.38,2.94,2.74,Low,Yes,West
MET000081,Market 41,Purple Line,Karnataka,Bengaluru,Sector 50,19.57916,83.332713,6,No,Yes,Yes,Yes,No,30163,2003,BMRCL,Yes,3.77,24.06,4.98,0.52,4.22,7.71,Low,No,West
MET000082,City 79,Green Line,Maharashtra,Mumbai,Sector 2,27.096513,74.008169,3,Yes,No,Yes,Yes,No,171870,2019,MMRC,Yes,8.03,19.45,7.78,0.49,4.78,9.47,Medium,Yes,South
MET000083,Park 65,Purple Line,Karnataka,Bengaluru,Sector 76,15.085877,77.107271,4,Yes,No,Yes,Yes,Yes,93506,2011,BMRCL,Yes,1.1,15.09,7.96,3.38,3.22,10.83,High,No,Central
MET000084,Market 85,Orange Line,Tamil Nadu,Chennai,Sector 26,22.702553,85.049998,4,No,No,Yes,Yes,No,196815,2015,CMRL,Yes,0.8,14.59,4.98,2.59,0.52,18.33,High,No,East
MET000085,City 39,Purple Line,Maharashtra,Mumbai,Sector 19,28.12835,73.255725,6,Yes,Yes,Yes,Yes,Yes,165462,2004,MMRC,Yes,3.19,24.13,3.57,4.17,1.22,14.03,Low,No,Central
MET000086,Central 16,Yellow Line,Telangana,Hyderabad,Sector 21,13.800541,78.196607,5,No,No,Yes,Yes,Yes,130461,2006,HMRL,Yes,8.98,28.95,4.91,3.45,0.39,5.42,High,No,South
MET000087,Central 77,Orange Line,Maharashtra,Mumbai,Sector 11,22.673478,85.053967,4,No,Yes,Yes,Yes,No,73576,2018,MMRC,Yes,7.89,33.32,0.92,1.91,1.25,19.1,Medium,No,South
MET000088,Park 42,Orange Line,Delhi,New Delhi,Sector 9,12.938153,87.479363,5,Yes,No,Yes,Yes,No,135741,2013,DMRC,Yes,8.62,7.39,7.82,3.44,0.55,6.58,Medium,No,North
MET000089,City 31,Purple Line,Tamil Nadu,Chennai,Sector 49,19.698914,87.10418,3,Yes,Yes,Yes,Yes,Yes,72246,2012,CMRL,Yes,4.48,16.25,0.55,2.6,1.41,6.32,Medium,No,West
MET000090,Market 7,Green Line,Karnataka,Bengaluru,Sector 48,13.024367,87.419264,2,No,Yes,Yes,Yes,No,25743,2007,BMRCL,Yes,0.94,30.0,3.58,1.59,4.36,17.58,Medium,No,West
MET000091,Sector 34,Pink Line,Telangana,Hyderabad,Sector 71,25.299706,75.94267,5,No,Yes,Yes,Yes,No,180221,2023,HMRL,Yes,4.82,36.53,2.67,3.17,1.41,1.71,High,No,Central
MET000092,Sector 22,Orange Line,Delhi,New Delhi,Sector 64,10.747455,81.087432,5,No,Yes,Yes,Yes,Yes,230283,2015,DMRC,Yes,3.14,28.24,0.38,4.65,4.87,12.86,Medium,Yes,Central
MET000093,Central 82,Blue Line,Telangana,Hyderabad,Sector 53,12.954897,85.069548,5,Yes,No,Yes,Yes,Yes,235128,2017,HMRL,Yes,7.04,24.68,7.57,1.68,2.93,19.69,High,Yes,West
MET000094,Central 18,Orange Line,Karnataka,Bengaluru,Sector 63,29.781744,76.324607,5,Yes,No,Yes,Yes,No,71933,2021,BMRCL,Yes,1.73,23.85,3.48,4.03,0.41,1.29,Medium,Yes,Central
MET000095,City 2,Orange Line,Maharashtra,Mumbai,Sector 22,14.376588,86.702082,5,No,No,Yes,Yes,Yes,7236,2003,MMRC,Yes,2.36,20.88,4.4,1.33,3.31,11.83,Medium,Yes,Central
MET000096,Park 31,Purple Line,Tamil Nadu,Chennai,Sector 65,19.052941,78.656496,6,Yes,Yes,Yes,Yes,No,207528,2023,CMRL,Yes,1.7,31.11,0.61,4.93,2.86,19.54,Low,No,Central
MET000097,Park 33,Pink Line,Tamil Nadu,Chennai,Sector 31,29.476778,78.426257,5,Yes,No,Yes,Yes,No,85757,2004,CMRL,Yes,2.26,22.37,4.28,2.25,2.61,1.14,Low,No,Central
MET000098,Lake 18,Yellow Line,Tamil Nadu,Chennai,Sector 54,14.629871,73.207353,2,No,No,Yes,Yes,No,121727,2007,CMRL,Yes,3.37,22.35,0.46,0.8,4.05,8.09,Low,Yes,South
MET000099,Market 75,Pink Line,Telangana,Hyderabad,Sector 76,24.611724,75.236193,2,No,No,Yes,Yes,No,110958,2022,HMRL,Yes,6.81,28.6,6.11,1.6,3.66,0.56,Medium,No,South
MET000100,City 19,Red Line,Delhi,New Delhi,Sector 57,29.9715,73.230228,4,Yes,No,Yes,Yes,Yes,234651,2014,DMRC,Yes,8.78,9.05,7.86,3.56,0.14,4.97,Medium,Yes,North
MET000101,Market 49,Orange Line,Tamil Nadu,Chennai,Sector 19,8.263597,76.416771,3,No,No,Yes,Yes,No,183028,2012,CMRL,Yes,1.6,14.71,4.69,1.62,4.65,12.82,High,No,South
MET000102,Market 20,Green Line,Maharashtra,Mumbai,Sector 24,12.766951,81.262088,3,No,Yes,Yes,Yes,Yes,138296,2024,MMRC,Yes,2.94,17.84,7.84,0.75,0.94,9.37,High,Yes,West
MET000103,Park 36,Yellow Line,Telangana,Hyderabad,Sector 49,15.604451,73.084554,3,Yes,No,Yes,Yes,No,31723,2003,HMRL,Yes,3.0,9.12,7.71,3.98,3.97,5.97,Medium,Yes,South
MET000104,Central 40,Yellow Line,Telangana,Hyderabad,Sector 79,19.19606,83.871268,4,Yes,Yes,Yes,Yes,No,89214,2003,HMRL,Yes,4.22,32.64,0.59,2.6,2.81,10.06,Medium,Yes,Central
MET000105,Lake 27,Red Line,Delhi,New Delhi,Sector 48,28.268895,85.276633,5,Yes,Yes,Yes,Yes,No,244486,2006,DMRC,Yes,9.93,32.8,2.04,0.52,4.32,15.78,Medium,Yes,West
MET000106,City 68,Pink Line,Maharashtra,Mumbai,Sector 70,27.15463,74.395795,3,Yes,Yes,Yes,Yes,Yes,44527,2012,MMRC,Yes,2.39,29.58,4.79,2.99,4.03,12.02,Low,Yes,East
MET000107,Sector 50,Orange Line,Telangana,Hyderabad,Sector 31,26.72047,75.142252,5,No,Yes,Yes,Yes,Yes,75111,2005,HMRL,Yes,2.95,19.91,0.18,4.27,0.18,9.58,High,No,South
MET000108,Park 61,Yellow Line,Karnataka,Bengaluru,Sector 32,13.721996,73.74241,4,Yes,Yes,Yes,Yes,No,219373,2023,BMRCL,Yes,7.9,28.06,2.16,3.85,2.06,15.05,Low,Yes,East
MET000109,City 16,Green Line,Telangana,Hyderabad,Sector 2,14.825838,72.035606,4,Yes,Yes,Yes,Yes,Yes,172426,2018,HMRL,Yes,6.63,39.05,1.05,0.34,2.22,11.89,Medium,No,West
MET000110,Market 38,Orange Line,Telangana,Hyderabad,Sector 9,25.103585,83.500793,4,No,No,Yes,Yes,Yes,88658,2023,HMRL,Yes,5.35,27.38,4.29,0.73,2.53,16.11,Low,Yes,Central
MET000111,Park 15,Blue Line,Tamil Nadu,Chennai,Sector 23,13.008898,72.329268,4,No,No,Yes,Yes,No,152637,2019,CMRL,Yes,5.74,35.88,7.86,3.9,2.25,6.39,Low,Yes,West
MET000112,Lake 1,Purple Line,Karnataka,Bengaluru,Sector 15,24.231484,82.302202,6,Yes,No,Yes,Yes,No,8134,2018,BMRCL,Yes,7.98,32.13,2.66,4.42,0.56,8.69,Low,Yes,South
MET000113,Lake 52,Red Line,Tamil Nadu,Chennai,Sector 80,11.356117,84.354446,4,No,Yes,Yes,Yes,Yes,130424,2010,CMRL,Yes,0.22,14.3,2.43,1.78,1.65,18.86,High,Yes,South
MET000114,Lake 35,Red Line,Karnataka,Bengaluru,Sector 10,9.870209,76.643587,5,No,No,Yes,Yes,Yes,147115,2017,BMRCL,Yes,1.89,16.1,1.97,3.49,1.59,9.97,Medium,No,Central
MET000115,Lake 49,Yellow Line,Delhi,New Delhi,Sector 37,29.172554,81.861018,3,Yes,Yes,Yes,Yes,Yes,173802,2003,DMRC,Yes,0.69,18.9,1.57,3.58,4.06,19.73,Low,Yes,South
MET000116,Market 41,Green Line,Telangana,Hyderabad,Sector 44,16.365236,83.309439,3,Yes,Yes,Yes,Yes,Yes,237697,2013,HMRL,Yes,7.46,37.87,6.72,3.59,4.66,19.46,Medium,No,South
MET000117,Park 85,Pink Line,Tamil Nadu,Chennai,Sector 67,14.614499,74.355365,3,Yes,No,Yes,Yes,No,189193,2008,CMRL,Yes,9.18,21.03,6.46,0.48,3.36,17.7,High,No,East
MET000118,Lake 43,Green Line,Delhi,New Delhi,Sector 20,17.242771,73.881113,4,No,No,Yes,Yes,No,54245,2002,DMRC,Yes,1.92,15.36,0.68,3.01,4.22,12.19,Low,No,East
MET000119,City 17,Yellow Line,Tamil Nadu,Chennai,Sector 71,22.752088,73.507504,4,Yes,No,Yes,Yes,Yes,210952,2009,CMRL,Yes,7.96,8.98,2.41,2.37,4.67,8.32,High,No,South
MET000120,Lake 8,Purple Line,Delhi,New Delhi,Sector 54,21.594526,75.937521,2,Yes,No,Yes,Yes,No,185499,2004,DMRC,Yes,9.75,16.53,5.22,3.92,0.87,4.11,High,No,Central
MET000121,Lake 74,Orange Line,Maharashtra,Mumbai,Sector 12,14.296822,72.56037,4,Yes,Yes,Yes,Yes,Yes,147275,2023,MMRC,Yes,5.31,27.96,0.7,1.65,4.75,3.77,Medium,No,North
MET000122,Sector 6,Purple Line,Telangana,Hyderabad,Sector 2,16.607263,83.744522,3,No,Yes,Yes,Yes,No,113451,2022,HMRL,Yes,5.28,12.47,5.78,1.1,2.44,10.71,High,Yes,Central
