Hospital_ID,Hospital_Name,Hospital_Type,Chain_Name,Ownership,State_ID,State_Name,City_ID,City_Name,Locality_ID,Locality_Name,Address,Pincode,Latitude,Longitude,Beds,ICU_Beds,Doctors,Nurses,Emergency,Trauma_Center,ICU,NICU,Blood_Bank,Pharmacy,Diagnostic_Lab,MRI,CT_Scan,Ambulance,NABH_Accredited,Cardiology,Neurology,Orthopedics,Oncology,Pediatrics,Gynecology,Dialysis,Rating,Reviews,Consultation_Fee,Annual_Patients,Established_Year,Website,Email,Phone,Quality_Index
HSP009670,Metro Heart Institute,Cancer Hospital,Independent,Government,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01660,Block 88 County,"H.No. 21, Mangat Chowk",234370,21.655256,79.73651,1960,337,339,672,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,3.0,11454,200,303259,1980,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,72.48
HSP023904,Narayana Health,Cancer Hospital,Narayana Health,Government,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01658,Phase 79 Paradise,"052, Kala Circle",126369,19.424692,96.052932,448,60,89,192,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,3.1,10611,200,383346,1950,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,87.21
HSP005532,Prime Trauma Centre,Medical College,Independent,Private,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01661,Garden 100 Vista,"H.No. 604
Hayre Circle",200383,35.814766,96.132889,1358,213,323,764,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,4.1,12630,1500,285291,1981,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,69.72
HSP010027,Supreme Children Hospital,Private Hospital,Independent,Private,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01660,Block 88 County,"15/872, Wadhwa Zila",234370,21.653454,79.739436,1324,227,357,842,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,4.8,20459,1000,633950,1971,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,91.45
HSP020433,Apex Multispeciality Hospital,Medical College,Independent,Government,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02174,Phase 7 Paradise,"71
Rama Marg",882126,19.843868,75.140927,673,105,168,264,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,4.5,28195,1500,434936,1981,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,89.27
HSP011353,CARE Hospitals,Children Hospital,CARE Hospitals,Government,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02174,Phase 7 Paradise,"H.No. 05, Mahal Road",882126,19.843166,75.139378,2343,308,654,928,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.8,18874,1200,544035,1992,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,66.78
HSP021254,Care Cancer Centre,Cancer Hospital,Independent,Government,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02170,Enclave 105 Enclave,"64/263, Jhaveri Zila",143589,21.700862,77.562143,1273,150,292,434,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,4.6,11417,700,319346,1979,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,97.14
HSP001411,Care Trauma Centre,Cancer Hospital,Independent,Private,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02170,Enclave 105 Enclave,"34/90, Dass Marg",143589,21.699044,77.566589,1412,115,321,534,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,4.6,29350,1000,286922,2022,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,71.63
HSP005499,Crystal Trauma Centre,Private Hospital,Independent,Trust,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02171,Enclave 100 Gardens,"11/65
Sarna Zila",725835,24.942953,90.370835,1658,269,277,587,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.5,15173,1500,678876,1995,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,90.64
HSP006645,Elite Trauma Centre,Super Speciality,Independent,Private,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02175,Nagar 19 City,"21
Goyal Nagar",642368,12.399249,68.304009,1343,232,253,476,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.6,20639,2000,90283,1983,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,95.83
HSP012817,Global Cancer Centre,Heart Hospital,Independent,Trust,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02168,Garden 74 Heights,"H.No. 305, D’Alia Ganj",163986,17.75969,90.176103,1229,196,237,524,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,4.2,11661,300,485243,1982,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,93.16
HSP005075,Green Medical Institute,Government Hospital,Independent,Private,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02172,Colony 101 Greens,"33, Mand Road",386219,9.125638,85.791791,1912,300,319,1009,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,5.0,6289,1500,669390,1961,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,68.88
HSP013552,Health Cancer Centre,Government Hospital,Independent,Trust,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02174,Phase 7 Paradise,"47, Rege Path",882126,19.850675,75.140018,1055,103,265,465,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,4.8,24836,1500,697523,1972,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,93.66
HSP023437,Health Children Hospital,Medical College,Independent,Trust,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02168,Garden 74 Heights,"22/58, Pall Marg",163986,17.755235,90.173438,2403,392,648,1004,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,3.3,20911,400,619315,1982,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,91.68
HSP014721,Health Medical Institute,Private Hospital,Independent,Government,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02173,Extension 34 City,"190
Parekh Zila",206744,31.977017,85.92067,1056,114,312,416,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,3.3,29940,500,111190,1958,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,91.37
HSP006734,Hope Medical Centre,Heart Hospital,Independent,Government,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02169,Colony 127 County,"68/039, Palan Ganj",843169,23.994275,86.035534,230,36,41,117,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,3.4,6728,300,67783,2005,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,94.83
HSP024279,Hope Trauma Centre,Government Hospital,Independent,Government,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02173,Extension 34 City,"80/670, Joshi Ganj",206744,31.982981,85.922892,396,46,115,143,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.1,5480,1000,321394,1962,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,85.72
HSP007952,Life Children Hospital,Super Speciality,Independent,Private,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02172,Colony 101 Greens,"H.No. 358
Bala Street",386219,9.119152,85.787222,1141,104,289,525,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,4.3,4339,400,153131,1969,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,73.22
HSP005965,Lotus Trauma Centre,Heart Hospital,Independent,Government,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02172,Colony 101 Greens,"80/258
Vig Circle",386219,9.119892,85.785786,1839,266,405,1101,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,4.3,21761,1000,636656,2004,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,78.56
HSP024253,Medanta,Children Hospital,Medanta,Government,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02168,Garden 74 Heights,"H.No. 98
Dua Chowk",163986,17.759323,90.170841,1430,196,379,502,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,3.9,17761,500,203667,2006,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,98.81
HSP016966,Prime Heart Institute,Children Hospital,Independent,Government,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02175,Nagar 19 City,"30
Tailor Path",642368,12.394844,68.305202,1575,276,267,634,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,3.6,67,300,530041,1983,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,68.5
HSP011108,Shree Super Speciality Hospital,Super Speciality,Independent,Trust,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02175,Nagar 19 City,"09, Wali Circle",642368,12.401427,68.309647,129,18,23,70,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,3.6,9767,300,545570,1981,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,84.69
HSP020018,Shree Trauma Centre,Government Hospital,Independent,Private,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02168,Garden 74 Heights,"66/745
Bumb",163986,17.763249,90.172789,1530,231,495,777,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,3.5,27036,400,417272,2007,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,96.92
HSP000008,Sir Ganga Ram Hospital,Heart Hospital,Sir Ganga Ram Hospital,Trust,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02171,Enclave 100 Gardens,"350
Rastogi Chowk",725835,24.946146,90.369339,616,84,151,231,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3.9,6856,700,88421,2017,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,95.55
HSP008289,Sunrise Trauma Centre,Cancer Hospital,Independent,Trust,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02171,Enclave 100 Gardens,"57/60
Handa Nagar",725835,24.94766,90.378043,1771,161,352,1006,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,4.5,29809,2000,380191,2015,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,76.58
HSP003318,Supreme Children Hospital,Medical College,Independent,Government,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02169,Colony 127 County,"H.No. 339, Kulkarni Marg",843169,23.988439,86.033616,1147,191,336,568,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,4.7,14369,1200,629836,2008,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,85.55
HSP013719,Supreme Multispeciality Hospital,Private Hospital,Independent,Private,UT001,Andaman and Nicobar Islands,C0166,Andaman City 166,L02169,Colony 127 County,"H.No. 54, Singhal Path",843169,23.991042,86.031965,1322,152,222,536,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,3.0,29185,1000,61186,1962,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,97.0
HSP001955,BLK-Max Super Speciality Hospital,Medical College,BLK-Max Super Speciality Hospital,Private,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02260,Enclave 141 Gardens,"629
Balay Street",890362,15.481096,90.25498,836,101,277,327,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,4.1,13412,200,232235,1962,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,84.41
HSP024044,Care Children Hospital,Super Speciality,Independent,Trust,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02255,Park 14 Paradise,"68, Sridhar Nagar",350110,34.331122,81.552914,436,61,130,290,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,4.5,24930,1000,367858,1963,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,83.86
HSP014878,Crystal Super Speciality Hospital,Medical College,Independent,Government,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02259,Block 31 Township,"H.No. 80
Bahri Road",269020,30.403503,72.314985,770,104,255,262,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,4.9,13717,1200,391195,1959,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,65.69
HSP010639,Global Health Centre,Government Hospital,Independent,Government,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02259,Block 31 Township,"17, Basak Marg",269020,30.404078,72.312809,592,92,123,263,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,4.8,13231,400,142933,1996,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,69.63
HSP000219,Green Medical Institute,Heart Hospital,Independent,Trust,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02247,Garden 69 Enclave,"H.No. 93
Deshmukh Street",464715,33.34724,96.406456,2030,224,408,906,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3.5,14308,200,431883,1989,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,77.0
HSP003886,HCG Cancer Centre,Private Hospital,HCG Cancer Centre,Private,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02245,Block 125 Paradise,"347, Dani Circle",829523,23.656087,91.911899,20,5,10,20,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,4.3,419,400,84748,2003,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,98.27
HSP024717,Hope Heart Institute,Medical College,Independent,Private,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02248,Colony 45 Paradise,"H.No. 198, Shukla Road",988668,15.830691,88.160418,571,56,95,240,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,5.0,3295,200,277679,1955,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,79.2
HSP009932,Hope Medical Centre,Government Hospital,Independent,Trust,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02245,Block 125 Paradise,"13, Saraf",829523,23.65283,91.911581,2330,201,407,1105,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,3.4,5092,200,193246,1962,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,70.29
HSP002388,Lilavati Hospital,Children Hospital,Lilavati Hospital,Government,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02254,Nagar 13 Enclave,"587, Dubey Ganj",287059,30.437094,92.121728,886,159,156,404,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,4.6,7551,1200,26839,1999,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,94.08
HSP023387,Lotus Multispeciality Hospital,Women's Hospital,Independent,Private,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02257,Park 60 Vista,"22
Sodhi Circle",375685,23.441742,82.609853,1201,145,279,677,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,5.0,8600,1200,66224,1954,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,91.4
HSP013078,Manipal Hospitals,Medical College,Manipal Hospitals,Private,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02244,Enclave 31 Enclave,"90/444
Patel Nagar",207993,15.761889,83.514365,1411,223,375,615,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,4.5,24050,200,400682,2003,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,97.08
HSP016098,Medanta,Government Hospital,Medanta,Private,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02253,Phase 128 Township,"31/05
Narayanan",891300,36.08483,76.6146,1799,297,368,860,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,3.4,19412,400,245266,1950,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,72.25
HSP000048,Metro Medical Centre,Private Hospital,Independent,Private,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02255,Park 14 Paradise,"H.No. 38
Madan Marg",350110,34.326584,81.559554,1769,232,413,845,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,4.6,15262,700,8402,2015,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,82.71
HSP002584,Metro Multispeciality Hospital,Super Speciality,Independent,Government,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02252,Colony 30 Heights,"012
Verma Road",414395,13.357597,90.976966,2045,180,362,863,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,4.3,20168,2000,658047,1951,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,77.57
HSP006695,Narayana Health,Women's Hospital,Narayana Health,Government,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02251,Colony 41 Vista,"13/784, Kaur Zila",444533,33.063496,86.264786,1732,141,479,650,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,5.0,10002,1000,135392,2016,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,93.36
HSP017789,Prime Cancer Centre,Heart Hospital,Independent,Government,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02247,Garden 69 Enclave,"H.No. 71
Apte Street",464715,33.345519,96.409287,1712,198,521,610,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,3.4,8506,1000,101945,1990,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,75.85
HSP014894,Royal Hospital,Super Speciality,Independent,Trust,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02258,Extension 74 Vista,"H.No. 563, Sule Chowk",777730,33.213749,68.674651,2475,302,423,860,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,4.0,8054,300,665665,2006,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,65.6
HSP001280,Unity Trauma Centre,Children Hospital,Independent,Private,UT001,Andaman and Nicobar Islands,C0172,Andaman City 172,L02249,Extension 78 Residency,"83/527
Prashad Zila",966474,16.809394,73.976562,686,68,125,324,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,3.1,2820,300,674371,2002,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,93.3
HSP013285,Apollo Hospitals,Women's Hospital,Apollo Hospitals,Government,UT001,Andaman and Nicobar Islands,C0284,Andaman City 284,L03708,Phase 11 City,"64/37, Babu Chowk",157656,32.808686,92.739613,1112,171,316,407,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3.3,6858,1500,465146,1966,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,67.64
HSP006495,Aster DM Healthcare,Private Hospital,Aster DM Healthcare,Private,UT001,Andaman and Nicobar Islands,C0284,Andaman City 284,L03704,Extension 9 County,"52, Kamdar Zila",365294,10.166301,70.147348,2428,264,524,952,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,4.5,18424,200,287917,2001,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,98.28
