city,quarter,hpi_assessment,composite_price_rs_sqft,price_le_60sqm_rs_sqft,price_60_110sqm_rs_sqft,price_gt_110sqm_rs_sqft,source,source_url,series,access_period
Jaipur,Jun 2025,100.22,5051,4435,5279,5524,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Jaipur,Jun 2026,107.33,5409,4816,5619,5891,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Jaipur,Mar 2026,104.27,5255,4677,5497,5626,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Jaipur,Sep 2025,100.95,5088,4504,5322,5488,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kalyan Dombivali,Dec 2025,99.62,10159,10245,9766,10541,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kalyan Dombivali,Jun 2025,99.65,10162,10254,9726,10735,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kalyan Dombivali,Jun 2026,97.99,9992,10021,9841,10383,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kalyan Dombivali,Mar 2026,98.28,10022,10065,9797,10558,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kalyan Dombivali,Sep 2025,99.04,10100,10249,9469,10162,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kanpur,Dec 2025,104.15,5969,5050,6360,6777,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kanpur,Jun 2025,98.74,5659,4343,6308,6456,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kanpur,Jun 2026,110.71,6345,5664,6657,6852,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kanpur,Mar 2026,107.38,6155,5514,6459,6588,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kanpur,Sep 2025,99.04,5676,4269,6303,6794,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kochi,Dec 2025,96.55,7804,8654,6749,8617,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kochi,Jun 2025,93.1,7526,7922,6731,8219,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kochi,Jun 2026,113.7,9191,11688,7491,10124,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kochi,Mar 2026,105.36,8516,9735,7096,9585,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kochi,Sep 2025,90.51,7316,7624,6676,7879,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kolkata,Dec 2025,104.32,8289,6300,8003,14903,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kolkata,Jun 2025,100.93,8019,6154,7755,14211,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kolkata,Jun 2026,107.88,8571,6491,8336,15317,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kolkata,Mar 2026,105.28,8365,6321,8053,15214,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Kolkata,Sep 2025,101.01,8025,6196,7773,14080,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Lucknow,Dec 2025,102.13,6545,5983,6142,7468,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Lucknow,Jun 2025,103.39,6626,5654,6694,7215,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Lucknow,Jun 2026,102.97,6599,5536,6200,7865,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Lucknow,Mar 2026,102.47,6567,5766,6144,7682,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Lucknow,Sep 2025,102.84,6590,5690,6614,7189,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ludhiana,Dec 2025,114.89,5138,4114,4563,6329,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ludhiana,Jun 2025,101.48,4538,4127,4354,4964,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ludhiana,Jun 2026,121.66,5441,4831,4708,6596,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ludhiana,Mar 2026,120.59,5392,4343,4746,6681,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ludhiana,Sep 2025,107.65,4814,4222,4520,5460,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Meerut,Dec 2025,105.24,4929,4711,4902,5241,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Meerut,Jun 2025,100.48,4706,4678,4674,4844,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Meerut,Jun 2026,112.03,5247,4947,5279,5440,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Meerut,Mar 2026,107.8,5049,4708,5042,5412,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Meerut,Sep 2025,102.82,4816,4857,4765,4947,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Mira Bhayander,Dec 2025,104.53,14950,14814,15967,13462,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Mira Bhayander,Jun 2025,100.79,14414,14335,15136,11721,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Mira Bhayander,Jun 2026,110.07,15742,15517,17347,14432,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Mira Bhayander,Mar 2026,106.93,15293,15131,16497,13679,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Mira Bhayander,Sep 2025,101.98,14585,14508,15260,12356,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Mumbai,Dec 2025,102.32,27445,25827,29636,33895,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Mumbai,Jun 2025,100.68,27005,25364,29704,31895,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Mumbai,Jun 2026,106.93,28683,26867,31022,36339,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Mumbai,Mar 2026,104.51,28034,26321,30281,35106,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Mumbai,Sep 2025,100.91,27066,25399,29429,33345,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Nagpur,Dec 2025,102.87,6915,6778,6961,7335,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Nagpur,Jun 2025,98.88,6647,6584,6572,7157,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Nagpur,Jun 2026,109.22,7342,7112,7463,7899,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Nagpur,Mar 2026,106.01,7126,6957,7191,7617,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Nagpur,Sep 2025,101.02,6790,6692,6735,7390,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Nashik,Dec 2025,103.17,4892,4661,4997,5734,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Nashik,Jun 2025,101.1,4794,4564,4909,5559,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
